episode_id,turn_count,total_assumptions,accommodated,dark_matter,conversion_rate,mean_lag,num_lags
007__What_Is_Success,3,1,1,0,100.0,0.0,0
007__What_s_up_with_Education,50,96,74,22,77.08,0.0,0
008_-_Opportunities_in_West_Africa_with_Paul_Okaru__Part_1,13,24,19,5,79.17,0.0,0
008_-_The_Best_Brands_in_2020_and_Email_Hacks,85,160,99,61,61.88,0.0,0
008_Abraham__Isaac___Moriah__Genesis_22,3,1,1,0,100.0,0.0,0
008_One_Niche_Site_Idea_and_How_to_Make_Money__the_golf_niche,2,1,1,0,100.0,0.0,0
008__Bonus_Episode__-_COVID-19__Microchurches____Missional_Living,27,90,79,11,87.78,0.0,0
008__Facing_the_Reality_of_Food_Insecurity,41,148,128,20,86.49,0.0,0
008__Making_Your_Family_Holy,41,210,182,28,86.67,0.0,0
008__Progress_Check__1__Part_1,3,2,2,0,100.0,0.0,0
008__The_Intersection_of_Being_Black__Sociology_and_Public_Health_with_Benjamin_Fields__PhD_Student,92,243,179,64,73.66,0.0,0
008___If_You_Were_20_Again,19,34,32,2,94.12,0.0,0
009_John_Fisher_on_adapting_to_working_online,29,27,18,9,66.67,0.0,0
009__Saying_HECK_YES__w__Fiona_Crystal,45,74,44,30,59.46,0.0,0
009___Angela_Ostroff___Social_Media_Marketing,32,62,50,12,80.65,0.0,0
01._The_Five_Solas_of_the_Reformation_-_James_White,2,1,1,0,100.0,0.0,0
01._Waiting_For_Permission,50,96,85,11,88.54,0.0,0
01._What_are_Thrive_Co-living_Communities,69,74,55,19,74.32,0.0,0
010_Giving_and_Receiving_Effective_Feedback_with_Dr._Sarah_Bean,39,123,110,13,89.43,0.0,0
010_Sebastian_Zelger_on_the_value_of_transparency,29,28,21,7,75.0,0.0,0
010___Design_ft._Laura_Jones,69,85,66,19,77.65,0.0,0
010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging,46,90,66,24,73.33,0.0,0
011._Hero_-_Matthew_Simmons__Controls_Engineer_at_Anco_Rendering_Equipment__LLC,63,120,86,34,71.67,0.0,0
0112-_TeenQuest_Live_Podcast_-_Winning_Your_Family_For_Christ-_Part_2,3,1,0,1,0.0,0.0,0
0116__Pet_Resource_Center_of_Kansas_City_with_Scott_Cotter,54,127,83,44,65.35,0.0,0
011_-_RTR_-_Cameron_MacMillan,63,106,67,39,63.21,0.0,0
011_Mark__Oak__Okisich,53,83,51,32,61.45,0.0,0
011_Psalm_23__A_Song_of_Life,3,1,1,0,100.0,0.0,0
011__5_Tips_to_Continue_DEVELOPING_Your_Business_During_a_Slow_Season,28,35,29,6,82.86,0.0,0
011__Affordable_Housing__Covid-19_Evictions__and_Social_Leadership,55,160,127,33,79.38,0.0,0
011__CORONA._RACISM._BUSINESS,6,4,4,0,100.0,0.0,0
012_-_Born_To_Lead_with_Patrick_Galvin,41,94,75,19,79.79,0.0,0
012__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White,49,100,83,17,83.0,0.0,0
012__Maggie_Milnamow-_VP_of_Advertising___Managing_Director_of_the_New_York_Times_Magazine,49,113,73,40,64.6,0.0,0
013._Hero_-_Justin_Shover__Regional_Sales_Manager_at_EECO,47,105,73,32,69.52,0.0,0
0135_Pinkie_The_Pig_Podcast__Waterfalls,86,55,27,28,49.09,0.0,0
0137_Pinkie_The_Pig_Podcast__The_Mississippi_River,80,57,32,25,56.14,0.0,0
013_-_Handling__The_Dip,29,55,41,14,74.55,0.0,0
013_-_How_Hormone_Health_Can_Impact_Your_Business_And_Life_With_Leah_Chischilly,61,138,112,26,81.16,0.0,0
014._HOW_TO_NAVIGATE_NEGATIVE_FEEDBACK,7,5,4,1,80.0,0.0,0
0140_Pinkie_The_Pig_Podcast__Rose_Buds___Roses,79,64,35,29,54.69,0.0,0
0141_Pinkie_The_Pig_Podcast__Lead___Other_Metals,98,63,31,32,49.21,0.0,0
0149_Pinkie_The_Pig_Podcast__Baseball_-_Grand_Slam_Home_Run___Cricket,79,79,49,30,62.03,0.0,0
014_-_Inevitable,2,1,1,0,100.0,0.0,0
014_-_When_Friends_Disagree,29,62,50,12,80.65,0.0,0
014_Wednesday_Rant__Dont_Negotiate_Your_Goals,3,1,1,0,100.0,0.0,0
014__A_Different_Perspective_On_Widowhood,44,62,53,9,85.48,0.0,0
014__Dr._Dennis_McKenna_-_Medicine_for_the_Collective__Pandemic_Teachings_That_May_Save_Humanity,43,96,80,16,83.33,0.0,0
014__Getting_Ahead_with_Your_Personal_Board_of_Directors_with_Lori_Tabb,41,162,147,15,90.74,0.0,0
014__What_Are_You_Afraid_Of___Part_4__-_Get_The_FOMO_Outta_Here,3,8,8,0,100.0,0.0,0
0151_Pinkie_The_Pig_Podcast__History_of_The_Pretzel,74,60,31,29,51.67,0.0,0
0154_Customer_Businesses_Pay___Also_en_Espanol___BOSSLEE,47,43,38,5,88.37,0.0,0
015_-_The_Instagram_Expert_-_Sue_B._Zimmerman,65,142,112,30,78.87,0.0,0
015_Johnnie_Moore_-_Unhurried_Conversations,26,53,44,9,83.02,0.0,0
015_Sarah_Bowling_-_Abigail_Holt_Jennings,35,28,14,14,50.0,0.0,0
015___Quality_Improvement_Consulting_w__Jarvis_Gray,39,125,99,26,79.2,0.0,0
016._Alison_Taylor__Developing_An_Ethical_Culture,33,130,119,11,91.54,0.0,0
016_Moving_And_Grooving_To_A_Healthy_Body_And_Brain,2,2,2,0,100.0,0.0,0
016__Restarting_isn_t_easy__but_worth_a_whole_life_with_Farrah_Blakely,23,55,49,6,89.09,0.0,0
017._Male_and_Female_2,7,3,3,0,100.0,0.0,0
017._Telling_Your_Story_to_Amplify_Growth_and_the_Power_of_Words_with_Carla_Russo,167,484,423,61,87.4,0.0,0
017_-_The_Pros___Cons_of_Discounts_For_Your_Business,30,54,48,6,88.89,0.0,0
017_-_When_Mother_Daughter_Relationships_Are_Complicated,35,174,171,3,98.28,0.0,0
017_Rutger_Bregman_-_Humankind,34,101,87,14,86.14,0.0,0
017__12_Things_Men_Fear_About_Church__Part_7_-_Sex,40,84,63,21,75.0,0.0,0
017__The_Energy_Of_Money,46,86,79,7,91.86,0.0,0
018_Politics_and_Business_Why_You_Can_t_Separate_The_Two-__BlackLivesMatter,14,27,24,3,88.89,0.0,0
018__How_to_take_Big_leaps_and_don_t_fail_on_the_try_-_Interview_with_Financial_Coach_Jessie_White,27,40,22,18,55.0,0.0,0
018__Navigating_Challenging_Times_as_a_Podcaster_with_Nicole_Jackson_Miller,25,54,48,6,88.89,0.0,0
018__Soul_Partners_Explained_pt.1,38,103,86,17,83.5,0.0,0
018___Stewardship,7,10,8,2,80.0,0.0,0
019_-_Learnin__From_The_Tiger_King,2,1,1,0,100.0,0.0,0
019_The_Sea_of_Galilee_Featuring__Bethsaida___Capernaum,3,2,1,1,50.0,0.0,0
01_-_Fight_for_your_kids,2,1,1,0,100.0,0.0,0
01_-_Rabbi_Harold_M._Schulweis__1_of_4,12,14,12,2,85.71,0.0,0
01_-_Tracking_your_Spending___Budgeting_-_Remix_Edition,4,3,3,0,100.0,0.0,0
01_Millennials__work__Holy_Sh_t__w__Wing_Yan_Man,35,84,73,11,86.9,0.0,0
01__Let_s_Talk_About_Sex,25,120,116,4,96.67,0.0,0
01__The_Public_Pillory_in_crisis_management,46,92,70,22,76.09,0.0,0
01___A_Conversation_on_Mental_Health_with_Bruce_Croxon,54,112,92,20,82.14,0.0,0
01___NYU_s_Global_Liberal_Studies_Program,49,83,56,27,67.47,0.0,0
02._CROSS_TO_THRONE__Crucified_With_Christ,3,2,2,0,100.0,0.0,0
02._Noah_and_the_Flood,3,1,1,0,100.0,0.0,0
02._The_Six_Traits_of_Top_Producers_with_Michael_Baker_of_Real_Producer_Magazine,34,98,77,21,78.57,0.0,0
02._Workforce_Development_-_Then___Now,4,2,1,1,50.0,0.0,0
02._You_Need_A_Solid_Financial_Plan_-_Greg_Welborn,3,1,1,0,100.0,0.0,0
020__How_I_Doubled_My_Bookings_and_Quit_My_9_to_5_Job,5,9,6,3,66.67,0.0,0
020__Human_Design_Basics,58,127,105,22,82.68,0.0,0
021.__EnTeR_WiLd__with_Carlos_Whittaker,69,155,126,29,81.29,0.0,0
021_PART_1__Global_Business___Multiculturalism,3,1,1,0,100.0,0.0,0
022._A_Young_Adult_Reflects_on_His_Teenage_Years,41,127,105,22,82.68,0.0,0
022__The_Ancient_Trade_Routes__Part_I,3,1,1,0,100.0,0.0,0
024__FB_Parties_part_TWO,3,2,2,0,100.0,0.0,0
024__Selling_To_Corporates_In_Uncertain_Times_with_Catherine_Watkin,33,95,73,22,76.84,0.0,0
024__The_Angry_Samurai,33,49,48,1,97.96,0.0,0
024___The_Devil_Wears_Swimwear_With_Gianni_Garcia_pt_2,36,92,69,23,75.0,0.0,0
025_Update__Racism__Economy__Business____CHOOSING_LIFE,5,1,0,1,0.0,0.0,0
028__Lessons_In_Leadership_-_Costas_Perkas,49,112,79,33,70.54,0.0,0
029_-_Create_More__Here_s_How,4,3,3,0,100.0,0.0,0
029_Defiantly_Human_with_Drew_Horsely_of_Mollitiam,49,98,78,20,79.59,0.0,0
029_Tell_the_Truth_with_Giampiero_Scattolon,51,118,101,17,85.59,0.0,0
02_-_Diversity_in_Customer_Success_-_Sue_Nabeth_Moore,39,145,119,26,82.07,0.0,0
02_-_How_Finli_is_leading_the_SMB_payments_revolution,28,86,79,7,91.86,0.0,0
02_June_2020_Am_Glad_To_Be_Back_In_God_s_House_I_Part_2,3,1,1,0,100.0,0.0,0
02_Performance_and_Presence,7,16,16,0,100.0,0.0,0
02__My_Silence_Is_Hurting_My_Children,35,104,95,9,91.35,0.0,0
03-08-2020_The_Reason_We_Do_What_We_Do__Chip_Pendleton,3,2,2,0,100.0,0.0,0
03._More_Intentional_Career_Branding_with_Tiffany_Tate,21,83,72,11,86.75,0.0,0
03._The_Habit_of_Generosity_-_Scott_Sommers,3,1,1,0,100.0,0.0,0
03._What_It_Takes_to_be_a_Top_Real_Estate_Agent_with_Shannon_McCarthy,29,81,63,18,77.78,0.0,0
030_Never_Go_With_Your_Gut_with_Dr_Gleb_of_Disaster_Avoidance_Experts,28,50,47,3,94.0,0.0,0
030_Wednesday_Rant__How_To_Be_A_Leader,3,3,3,0,100.0,0.0,0
030__Meg_Baker_on_what_to_do_if_your_ideal_customers_aren_t_buying_now,51,118,100,18,84.75,0.0,0
031_How_to_Expand_Your_Amazon_Sales_on_Rakuten_with_Alec_Valencia,41,124,99,25,79.84,0.0,0
031__Presenting_Yourself_With_Confidence__With_Tracy_Hooper,27,95,88,7,92.63,0.0,0
032_-_How_To_Manage_Your_Emotions_When_Managing_Tasks,49,124,112,12,90.32,0.0,0
032__Increasing_Revenue_From_Your_Existing_Customers_-_Meridith_Elliott_Powell,47,149,117,32,78.52,0.0,0
032__The_Grace_of_God_with_Philip_Ugbe,13,41,41,0,100.0,0.0,0
033_-_Don_Beeson___Overlanding__Combatives__and_Event_Missions_Recap,29,49,40,9,81.63,0.0,0
033_-_How_to_Stay_Aligned_with_Your_Companys_Values,39,88,78,10,88.64,0.0,0
033_Being_Spiritual_and_Being_Human_-_Confused_Yet,3,3,2,1,66.67,0.0,0
033__Bishop_Thad_Barnum__Ministry_Within_the_Yellow_Lines,26,70,64,6,91.43,0.0,0
033___Georgie_Muir__Chasing_Lobsters,45,127,112,15,88.19,0.0,0
033___Mike_Explains_the_Economy,121,159,101,58,63.52,0.0,0
034__35_Ways_to_Be_A_Better_Creator___Person_From_35_Years_of_Life__HAPPY_BIRTHDAY_TO_ME,3,2,2,0,100.0,0.0,0
034__Looking_Ahead,29,124,70,54,56.45,0.0,0
034__The_Courage_to_Humbly_But_Boldy_Pray,51,86,54,32,62.79,0.0,0
0369__Working_Out_An_Effective_Marketing_Budget_For_Your_Service-Based_Company,3,5,4,1,80.0,0.0,0
036_-_Marketing_Your_Practice_In_The_Face_of_COVID-19,4,5,4,1,80.0,0.0,0
0370__How_Cash_Flow_Forecasts_Help_Contractors,3,2,2,0,100.0,0.0,0
037_-_Haley_Carter__United_Soccer_Coaches_Women_s_Advocacy_Chair,29,46,33,13,71.74,0.0,0
037_Real_Life_1.0_with_Tej_Singh,65,134,101,33,75.37,0.0,0
039_Feeling_Confident_With_Your_Uniqueness_And_Purpose_With_Judy_Weber,43,139,124,15,89.21,0.0,0
039__The_Refiners_Fire_I_Peter_1_3-12,3,1,0,1,0.0,0.0,0
03_-_How_to_Progress_In_Your_Customer_Success_Career_-_Georgia_Harrison,39,109,83,26,76.15,0.0,0
03_Understanding_the_Startup_Ecosystem_in_UK__Part_-_1,15,17,14,3,82.35,0.0,0
03__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White,47,92,81,11,88.04,0.0,0
03__Explore_Your_Brand_Positioning,30,58,52,6,89.66,0.0,0
04-12-20_Easter_Sabbath,4,3,3,0,100.0,0.0,0
04-19-20_Perseverance_By_Looking_Back,33,95,77,18,81.05,0.0,0
04._Catalina_Foothills,21,5,4,1,80.0,0.0,0
04._FORGIVENESS__Practicing_Forgiveness_-_How__and_Who__to_Forgive,3,2,2,0,100.0,0.0,0
040_How_to_sell_1.5B__in_real_estate_while_using_Gary_Vee_s_content_model_with_Jas_Takhar,37,80,50,30,62.5,0.0,0
040__Self-Sabotage__How_It_Starts___How_to_Stop,7,13,12,1,92.31,0.0,0
040___Kevin_K._Nguyen___Higher_Education_Professional_and_Ph.D_Candidate___Working_to_Create_Leadership_in_Education_That_Reflects_Its_Students,19,34,30,4,88.24,0.0,0
041__Define_Success_for_Yourself__Not_the_Status_Quo___Amy_Vaughan,27,69,62,7,89.86,0.0,0
042_-_5_Ways__Not_Burning_Bridges__will_help_Grow_Your_Business,2,1,1,0,100.0,0.0,0
043_-_How_To_Put_Ideas_Into_Action,23,40,32,8,80.0,0.0,0
043_The_Process_of_Creativity_with_Tom_Connell_Hair_Art_Director_for_Davines,57,124,101,23,81.45,0.0,0
044__3_Quick_Tips_To_Build_Your_Personal_Brand_Online,2,1,1,0,100.0,0.0,0
045_-_Enneagream_6_with_Angie_May,39,94,79,15,84.04,0.0,0
045_Interview_with_Sister_Anna_Marie_Part_5,57,81,65,16,80.25,0.0,0
046__From_Painting_Door_Hangers_to_Starting_an_Online_Membership_-_with_Tamara_Bennett,37,84,62,22,73.81,0.0,0
046__How_to_Get_Over_Yourself_with__the_help_of__Jaclyn_Mellone,39,113,99,14,87.61,0.0,0
046__How_to_Open_your_Heart_Again,11,19,17,2,89.47,0.0,0
047_-_How_Education_Is_The_Key_To_Future_Success,34,64,56,8,87.5,0.0,0
047_Interview_with_Sister_Anna_Marie_Part_7,85,104,75,29,72.12,0.0,0
047_Preparing_for_the_new_normal,5,2,2,0,100.0,0.0,0
047_THE_COUNTERPART__LEAH_SHARES_A_NEW_FAV_SHOW,24,15,14,1,93.33,0.0,0
047__A_Membership_to_Help_You_Improve_Your_Memory_-_with_Dr._Anthony_Metivier,35,75,55,20,73.33,0.0,0
048_Tim_Challies__Thoughts_on_Media_and_Your_Family,41,102,78,24,76.47,0.0,0
048__K._M._Weiland_Interview__Marvel_s_Avengers,52,127,102,25,80.31,0.0,0
04_-_401k_and_Friends,3,2,0,2,0.0,0.0,0
05-03-2020_Sermon,51,53,41,12,77.36,0.0,0
05-04-20___05-11-20_HARDCORE_CHRISTIANITY_-_Covid_Mental_Health,3,2,2,0,100.0,0.0,0
05-10-2020_AM_-_Enlisting_Godly_Mentors,3,3,2,1,66.67,0.0,0
05-12-20_REDEEMING_THE_TIME,5,2,2,0,100.0,0.0,0
05-17-2020_AM_-_Saving_Grace,3,2,2,0,100.0,0.0,0
05-17-20_-_What_Matters_Now,3,3,3,0,100.0,0.0,0
05-24-2020_-_Pastor_Hill_-_God_Is_Good,3,1,1,0,100.0,0.0,0
05-24-20_Puppet_Show,25,29,23,6,79.31,0.0,0
05-26-2020__Wondering_About_Feathered_Wonders__All_Things_Birds_with_Erik_Bruhnke,41,69,48,21,69.57,0.0,0
05-31-2020_Why_Should_Believers_Prosper_-_part_1,2,2,2,0,100.0,0.0,0
05.04.2020_Father...Open_Our_Eyes,5,1,1,0,100.0,0.0,0
05.10.20_-_Premillennialism_-_part_2,5,8,8,0,100.0,0.0,0
05.20.20__How_Volkswagen_Helps_Ski_and_Snowboard_Instructors_Get_to_the_Slopes,29,43,30,13,69.77,0.0,0
05.21.2020_We_Can_Make_it_Because_He_prayed_For_Us,7,3,3,0,100.0,0.0,0
05._HOW_TO_AVOID_BURNING_OUT_FT._KELLEY_ANNE_FROM_LET_S_BURN_BRIGHT,15,21,20,1,95.24,0.0,0
05._How_To_Become_A_Millionaire_-_Greg_Welborn,3,3,2,1,66.67,0.0,0
05._Trust_You_and_Know_Its_Possible,49,114,106,8,92.98,0.0,0
050_Sam_Richter__Bestselling_Author_and_Hall_of_Fame_Speaker,27,82,73,9,89.02,0.0,0
051820_-_Your_High_End_Coaching_Programs_are_Energetic_Containers,3,1,1,0,100.0,0.0,0
051_Robbie_Kellman_Baxter__Author_of_The_Forever_Transaction,29,80,66,14,82.5,0.0,0
051__David_Carroll_-_COO__Bodycare_Workplace_Solutions,59,168,142,26,84.52,0.0,0
052_-_What_Are_the_Most_Important_Accounts_to_Save_to_First,76,242,209,33,86.36,0.0,0
052__Preserve_Dignity_and_Build_Trust_by_Helping_Others_Save_Face,25,53,50,3,94.34,0.0,0
053_-_Christopher_Oosthuisen_of_Svperhuman,73,192,140,52,72.92,0.0,0
053__Helping_Entrepreneurs_Add_Engaging_Gamification_To_Courses_And_Memberships_-_with_Tama-Lea_Lorenzen,39,67,46,21,68.66,0.0,0
053__Yves_Silveira_-_Physiotherapist_and_emerging_leader,57,190,153,37,80.53,0.0,0
055_-_Ana_Romero_of_Mooch__Bringing_You_Everything_You_Need_For_Your_Pet,37,59,41,18,69.49,0.0,0
057__Conscious_Leadership__Practicing_Gratitude_and_Positive_Thinking,4,5,4,1,80.0,0.0,0
058___Aligning_with_the_Light_Even_if_the_World_Goes_Dark___Real_Talk,4,1,1,0,100.0,0.0,0
059_-_Joel_Carben_of_Carben_Ventures_-_Landing_The_Ship_And_Exiting_A_Startup_During_Covid-19,29,87,72,15,82.76,0.0,0
059__Sacrifice_is_a_Lost_Word,5,6,6,0,100.0,0.0,0
05_01_GetUp_A,6,7,7,0,100.0,0.0,0
05_14_RecipeForRevival_B,6,7,7,0,100.0,0.0,0
05_17_20-_Enough_is_Enough_Part_2__Enough_on_Earth-_Pastor_Adrian_Mills,3,2,1,1,50.0,0.0,0
05_17_20_Sun__Sympathy__Empathy__Compassion_and_Grace--_an_Exploration_of_the_Terms_and_Concepts,17,12,5,7,41.67,0.0,0
05_21_20-Bishop_Brennan_Update,21,33,30,3,90.91,0.0,0
05_24_20_-___4_30_PM_-SUNDAY_MID-DAY_PRAISE___WORSHIP_PODCAST_W_YOUTUBE__BLOGTALKRADIO__ITUNES,7,7,7,0,100.0,0.0,0
05_29_20-Bishop_Brennan_Update,21,27,25,2,92.59,0.0,0
05_31_2020_-__Prayer__Reflection_and_Crisis,2,1,1,0,100.0,0.0,0
05__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White,35,46,32,14,69.57,0.0,0
06-04-20___06-11-20_HARDCORE_CHRISTIANITY_-_Covid_Hoax_Phase_II,3,2,2,0,100.0,0.0,0
06-11-20_A_WORD_FROM_THE_WORD,3,1,0,1,0.0,0.0,0
06-14-2020_Above_Every_Other__El_Olam_and_Yahweh_Shammah_Extra_Point_Podcast,27,46,41,5,89.13,0.0,0
06-14-2020_Worship_Service_-_Audio,4,1,1,0,100.0,0.0,0
06-14-20_The_New_Normal__Josh_Miles,3,2,0,2,0.0,0.0,0
06-18-20_A_WORD_FROM_THE_WORD,3,1,1,0,100.0,0.0,0
06-20-20_AM_-_The_Tragedy_of_Forgetful_Fathers_-_Pastor_Mullings,9,7,6,1,85.71,0.0,0
06.01.20_-_Monday_Check_-_In,37,55,44,11,80.0,0.0,0
06.09.2020__The_Bucks_are_headed_to_Disney_World_as_basketball_sets_return,24,83,55,28,66.27,0.0,0
06.21.20_Resilient__Boldness,5,1,1,0,100.0,0.0,0
06.29.20_-_Monday_Check_-_In,35,64,46,18,71.88,0.0,0
06._PARABLES__All_the_Parables_of_Fruitfulness,3,1,1,0,100.0,0.0,0
06._Vanessa_Agudelo__Houston_Business_Women,19,53,46,7,86.79,0.0,0
060720_2_minute_program,3,1,1,0,100.0,0.0,0
061420_2_minute_program,3,1,0,1,0.0,0.0,0
062920_2_minute_program,3,1,1,0,100.0,0.0,0
064_A_Day_In_The_Life_Of_An_Online_Coach__What_You_REALLY_Do_All_Day,3,4,4,0,100.0,0.0,0
064_Small_cogs_make_a_pretty_fly_wheel,47,62,50,12,80.65,0.0,0
065_-_How_To_Become_A_Better_Leader,38,80,69,11,86.25,0.0,0
065__How_to_Become_a_Young_Homeowner_w__Maya_Mitchell,70,250,208,42,83.2,0.0,0
066__Boosting_Summit_Results_Using_Facebook_Ads_with_Destini_Copp,61,196,160,36,81.63,0.0,0
067__2_Lessons_About_Business_From_My_First_Mentor,2,1,1,0,100.0,0.0,0
069_-_Steve_Pratt__Podcasts_-_Your_Brand_s_Unfair_Advantage,47,131,104,27,79.39,0.0,0
069_-_What_Makes_a_Great_Teacher,21,19,13,6,68.42,0.0,0
069_Well-Being_in_An_Extra_Stressful_Time,48,104,89,15,85.58,0.0,0
069__How_TheCoilBrush_Was_Created_by_Ree_Farrington,82,158,82,76,51.9,0.0,0
069___Authenticity__Being_True_To_Yourself_As_An_Entrepreneur_Brings_Success___with_Marnie_Consky,36,63,47,16,74.6,0.0,0
06_-_Leading_Through_Crisis___ft._Antis_Roofing_and_Waterproofing,18,25,23,2,92.0,0.0,0
06_01_Gods_Kingdom_Mandate_A,6,7,5,2,71.43,0.0,0
06_09_Your_Dreams_Greatest_Danger_B,6,3,3,0,100.0,0.0,0
06_10_2020_-_Rev._Dillon_Morgan,13,13,11,2,84.62,0.0,0
06_16_20-Bishop_Brennan_Update,23,45,36,9,80.0,0.0,0
06_21_2020_BibleStudy,3,2,2,0,100.0,0.0,0
06_21_20_AM__Fathers_Day__A_Challenge_to_Dads,2,1,1,0,100.0,0.0,0
06_21_20_Happy_Fathers_Day,2,2,2,0,100.0,0.0,0
06_22_20_China_Asks_For_Covid-19_Licenses_For_US_Ag_Products,3,1,1,0,100.0,0.0,0
06_24_2020_Its_The_Juice,53,36,14,22,38.89,0.0,0
06_24_2020_Its_The_Juice_2,53,51,17,34,33.33,0.0,0
06_28_20_-_Kyle_Estepp_-_Matthew_6_19-24,3,2,1,1,50.0,0.0,0
06_28_20_Something_to_Lose,4,3,3,0,100.0,0.0,0
06__House_Hacking,24,58,48,10,82.76,0.0,0
070_Bonus__Living_legendary__Put_your_own_air_mask_on_first_before_assisting_others,4,2,2,0,100.0,0.0,0
071__Ted_Schuster___Gospel_Centered_Focus,39,100,93,7,93.0,0.0,0
073___Setting_Expectations__What_Should_You_Set_and_What_Should_Expect___with_Paul_Rajotte,54,123,89,34,72.36,0.0,0
074-_I_have_350m_to_spend_-_Want_some,49,117,80,37,68.38,0.0,0
075__How_To_2.5X_Your_Revenue_In_6_Months,2,1,1,0,100.0,0.0,0
