prompt_id,assumption_id,category,source_episode_id,source_turn_idx,source_assumption_idx,assumption_text,control_episode_id,control_turn_idx,control_claim_idx,claim_text,overlap_score,entailment_score,confidence,raw
religion|121_-_Seeing_the_Christ_in_All_of_Us|34|2|8cf0f4ed7b5b34e6|1,religion|121_-_Seeing_the_Christ_in_All_of_Us|34|2|8cf0f4ed7b5b34e6,religion,121_-_Seeing_the_Christ_in_All_of_Us,34,2,The audience recognizes 'quote card' as a recognizable format or term within the context.,Mission_Statement,7,4,The content will be presented within the context of a podcast.,2,5,0.8,"{
  ""entailment_score"": 5,
  ""confidence"": 0.8
}"
commentary|89_-_Ryan_Papaioannou|93|4|e5f18f117d938b45|0,commentary|89_-_Ryan_Papaioannou|93|4|e5f18f117d938b45,commentary,89_-_Ryan_Papaioannou,93,4,The speaker trusts their own judgment about what constitutes meaningful detail in this context.,Day_12_of_Protest_Marches_in_Detroit__Will_It_Work_This_Time__A_Look_Back_at_Detroit_s_History_Between_Residents_and_Police_-_With_Historian_Ken_Coleman_2,4,5,The speaker has previously warned others about systemic racial injustice.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
commentary|89_-_Ryan_Papaioannou|93|4|e5f18f117d938b45|1,commentary|89_-_Ryan_Papaioannou|93|4|e5f18f117d938b45,commentary,89_-_Ryan_Papaioannou,93,4,The speaker trusts their own judgment about what constitutes meaningful detail in this context.,Day_12_of_Protest_Marches_in_Detroit__Will_It_Work_This_Time__A_Look_Back_at_Detroit_s_History_Between_Residents_and_Police_-_With_Historian_Ken_Coleman_2,5,9,The speaker holds mixed feelings about how the protests in Detroit have been conducted.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
commentary|89_-_Ryan_Papaioannou|93|4|e5f18f117d938b45|2,commentary|89_-_Ryan_Papaioannou|93|4|e5f18f117d938b45,commentary,89_-_Ryan_Papaioannou,93,4,The speaker trusts their own judgment about what constitutes meaningful detail in this context.,Day_12_of_Protest_Marches_in_Detroit__Will_It_Work_This_Time__A_Look_Back_at_Detroit_s_History_Between_Residents_and_Police_-_With_Historian_Ken_Coleman_2,13,1,The speaker wears a mask and gloves when running or shopping due to concerns about the coronavirus.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e|0,business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e,business,How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following,37,1,The speaker believes their idea would be seen as fun and worthwhile by others.,Teen_Vogue_editor-in-chief_Lindsay_Peoples_Wagner_on__long__sustainable_change,4,1,The speaker believes it is important to clarify the connection between fashion and inclusivity.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e|1,business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e,business,How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following,37,1,The speaker believes their idea would be seen as fun and worthwhile by others.,Teen_Vogue_editor-in-chief_Lindsay_Peoples_Wagner_on__long__sustainable_change,8,3,The speaker believes the person they are addressing grew up in Wisconsin.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e|2,business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e,business,How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following,37,1,The speaker believes their idea would be seen as fun and worthwhile by others.,Teen_Vogue_editor-in-chief_Lindsay_Peoples_Wagner_on__long__sustainable_change,28,3,The speaker believes their personal experience in fashion differs significantly from typical experiences.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e|3,business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e,business,How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following,37,1,The speaker believes their idea would be seen as fun and worthwhile by others.,Teen_Vogue_editor-in-chief_Lindsay_Peoples_Wagner_on__long__sustainable_change,61,0,The speaker believes the November election is critically important.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e|4,business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e,business,How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following,37,1,The speaker believes their idea would be seen as fun and worthwhile by others.,Teen_Vogue_editor-in-chief_Lindsay_Peoples_Wagner_on__long__sustainable_change,65,8,The speaker believes meaningful work is being done to address systemic issues.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Making_Career_Transition_Work__with_Dr._Eric_Wright_from_Vets2PM|31|2|56afe31bd6416954|0,business|Making_Career_Transition_Work__with_Dr._Eric_Wright_from_Vets2PM|31|2|56afe31bd6416954,business,Making_Career_Transition_Work__with_Dr._Eric_Wright_from_Vets2PM,31,2,My experiences with hardship give me credibility and insight when helping others.,9__All_Things_Associates_-_Larry_Wintersteen,56,4,"We'll give you a free no of charge, some things that need to be looking at that you need to look at when you put together that associate agreement.",2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Paul_Romer_on_the_COVID-19_Pandemic|62|0|c43674e1c1d4ef84|0,business|Paul_Romer_on_the_COVID-19_Pandemic|62|0|c43674e1c1d4ef84,business,Paul_Romer_on_the_COVID-19_Pandemic,62,0,The speaker believes that certain behaviors need to be controlled by others.,304_Chuki_Obiyo_-_Chuki_Law,22,7,The speaker believes that answering six questions within nine minutes demonstrates effective brevity.,2,1,0.85,"{
  ""entailment_score"": 1,
  ""confidence"": 0.85
}"
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729|0,business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,0,3,The speaker has invited Renee Harrison to appear on the show.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729|1,business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,2,2,The person being addressed should share information about their identity.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729|2,business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,5,2,The speaker believes that incoming individuals should genuinely want to learn about racial justice issues.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729|3,business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,5,3,The speaker is currently having conversations with friends about amplifying important discussions on their platform.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729|4,business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,9,5,"The speaker has recorded conversations with their mother, grandmother, and great-grandmother during Black History Month.",2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729|5,business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,15,3,The speaker has never before experienced live theater conducted entirely over a computer.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729|6,business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,19,8,The speaker recently spoke with the founder of Jallop Studios about sisterhood and community.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines|45|5|fe283802c7be6bc1|0,business|Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines|45|5|fe283802c7be6bc1,business,Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines,45,5,The listener is expected to understand or care about entrepreneurial processes involving international manufacturing.,How_A_Mom_s_Twist_Of_Fate_Saved_Her_Depressed_Teen_s_Life,21,1,The speaker values learning about the practical steps taken by the listener.,2,3,0.8,"{
  ""entailment_score"": 3,
  ""confidence"": 0.8
}"
business|Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines|45|5|fe283802c7be6bc1|1,business|Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines|45|5|fe283802c7be6bc1,business,Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines,45,5,The listener is expected to understand or care about entrepreneurial processes involving international manufacturing.,How_A_Mom_s_Twist_Of_Fate_Saved_Her_Depressed_Teen_s_Life,21,7,"The speaker asks about daily routines involving feeding children, specifically breakfast choices.",2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
religion|012__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White|41|2|99f1f41c237c2652|0,religion|012__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White|41|2|99f1f41c237c2652,religion,012__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White,41,2,"Good counsel involves both sincerity and accuracy, and the two are not equivalent.",Ep._248__Take_Back_Your_Power_with_Dr._Christiane_Northrup,5,2,Healing involves both the provider’s expertise and the patient’s self-awareness.,2,9,0.95,"{
  ""entailment_score"": 9,
  ""confidence"": 0.95
}"
business|The_Biggest_Challenge_of_My_Career__Keeping_Up_with_Telehealth_Coding_Changes_During_COVID-19|27|9|34fc969d471c5418|0,business|The_Biggest_Challenge_of_My_Career__Keeping_Up_with_Telehealth_Coding_Changes_During_COVID-19|27|9|34fc969d471c5418,business,The_Biggest_Challenge_of_My_Career__Keeping_Up_with_Telehealth_Coding_Changes_During_COVID-19,27,9,The audience trusts the speaker's judgment and will act upon the recommended actions.,Andy_Smith___Strategiq,9,0,The speaker believes they need to act on decisions now that will impact the company's market position in six to twelve months.,3,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
business|Ep._2___Hope_in_the_Midst_of_Crisis__with_Rachel_Hope_Henry|7|1|88d296bfb16d05ca|0,business|Ep._2___Hope_in_the_Midst_of_Crisis__with_Rachel_Hope_Henry|7|1|88d296bfb16d05ca,business,Ep._2___Hope_in_the_Midst_of_Crisis__with_Rachel_Hope_Henry,7,1,Significance is determined by cultural or media consensus rather than individual judgment.,13__Selecting_Teams_to_Drive_Culture_and_Growth___Customer_Service___Leadership,1,7,Employees are increasingly choosing employers based on leadership rather than corporate brand alone.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|Coding_Is_NOT_for_You|24|3|95c144ac2d43a472|0,business|Coding_Is_NOT_for_You|24|3|95c144ac2d43a472,business,Coding_Is_NOT_for_You,24,3,"Native system-level integrations (e.g., camera hardware access) lead to better user experiences than third-party app implementations.",Is_this_how_you_attract_millennials__You_decide,25,2,The I sim system's tool is user-friendly.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt|43|8|efdae11117597e9c|0,business|Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt|43|8|efdae11117597e9c,business,Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt,43,8,The speaker’s team had high competence in rapid adaptation and production under pressure.,175__Shelley_Paxton__Soulbbatical__Living_with_Authenticity_and_Courage,5,8,The speaker had recurring nightmares involving their deceased dog in distress.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt|43|8|efdae11117597e9c|1,business|Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt|43|8|efdae11117597e9c,business,Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt,43,8,The speaker’s team had high competence in rapid adaptation and production under pressure.,175__Shelley_Paxton__Soulbbatical__Living_with_Authenticity_and_Courage,29,3,The speaker began their career in a high-profile advertising job in Chicago after university.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
political|71769|3|1|59a1337a30a17855|0,political|71769|3|1|59a1337a30a17855,political,71769,3,1,Public figures have a responsibility to set behavioral examples during public health crises.,71757,15,2,Amelia Sykes has introduced legislation declaring racism a public health crisis in Ohio.,2,9,0.95,"{
  ""entailment_score"": 9,
  ""confidence"": 0.95
}"
political|71769|3|1|59a1337a30a17855|1,political|71769|3|1|59a1337a30a17855,political,71769,3,1,Public figures have a responsibility to set behavioral examples during public health crises.,71757,16,8,"Personal responsibility, including exercise and healthy eating, plays a role in preventing health problems.",2,3,0.75,"{
  ""entailment_score"": 3,
  ""confidence"": 0.75
}"
business|Chris_Moule|7|4|01a53600968864e9|0,business|Chris_Moule|7|4|01a53600968864e9,business,Chris_Moule,7,4,The audience shares the speaker’s interest in organizational innovation and development.,Access_to_Justice_in_Puerto_Rico_in_the_Time_of_COVID-19_-_Diego_Alcala,16,5,The audience and speaker are united despite being in seclusion.,2,5,0.75,"{
  ""entailment_score"": 5,
  ""confidence"": 0.75
}"
business|Chris_Moule|7|4|01a53600968864e9|1,business|Chris_Moule|7|4|01a53600968864e9,business,Chris_Moule,7,4,The audience shares the speaker’s interest in organizational innovation and development.,Access_to_Justice_in_Puerto_Rico_in_the_Time_of_COVID-19_-_Diego_Alcala,16,6,The speaker invites the audience to contact them via Twitter at @aclamburt.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
political|45378|6|5|d1cd26beefc4e2d8|0,political|45378|6|5|d1cd26beefc4e2d8,political,45378,6,5,Public perception of law enforcement effectiveness depends on credible communication about agency coordination.,74623,12,4,"Trust in federal institutions, particularly law enforcement and the FBI, is very low.",2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
political|45378|6|5|d1cd26beefc4e2d8|1,political|45378|6|5|d1cd26beefc4e2d8,political,45378,6,5,Public perception of law enforcement effectiveness depends on credible communication about agency coordination.,74623,25,3,"After the presidential debate, Trump significantly outperformed Biden in public perception.",2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Dream_Team_Podcast__11_-_Alicia_Palermo|3|3|f1a3c3c00aa2ff69|0,business|Dream_Team_Podcast__11_-_Alicia_Palermo|3|3|f1a3c3c00aa2ff69,business,Dream_Team_Podcast__11_-_Alicia_Palermo,3,3,"Family members, especially elders like grandmothers, are expected to play a role in naming babies.",USV__Thesis_Driven_Investing_for_Building_Conviction,23,0,We play a pretty active role in helping companies raise additional capital.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|This_is_who_we_are_and_what_we_are_here_to_do|10|2|c25500427bded50d|0,business|This_is_who_we_are_and_what_we_are_here_to_do|10|2|c25500427bded50d,business,This_is_who_we_are_and_what_we_are_here_to_do,10,2,The speaker considers 'hard' to mean objectively challenging rather than merely subjective experience.,Listener_Question__The_Pros_and_Cons_of_Student_Rentals_in_Property_Investment___Ep._263,1,3,High rental yields come from low purchase prices rather than high rents.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|This_is_who_we_are_and_what_we_are_here_to_do|10|2|c25500427bded50d|1,business|This_is_who_we_are_and_what_we_are_here_to_do|10|2|c25500427bded50d,business,This_is_who_we_are_and_what_we_are_here_to_do,10,2,The speaker considers 'hard' to mean objectively challenging rather than merely subjective experience.,Listener_Question__The_Pros_and_Cons_of_Student_Rentals_in_Property_Investment___Ep._263,1,9,The speaker has personal experience visiting these flats through friends attending university.,2,1,0.8,"{
  ""entailment_score"": 1,
  ""confidence"": 0.8
}"
business|This_is_who_we_are_and_what_we_are_here_to_do|10|2|c25500427bded50d|2,business|This_is_who_we_are_and_what_we_are_here_to_do|10|2|c25500427bded50d,business,This_is_who_we_are_and_what_we_are_here_to_do,10,2,The speaker considers 'hard' to mean objectively challenging rather than merely subjective experience.,Listener_Question__The_Pros_and_Cons_of_Student_Rentals_in_Property_Investment___Ep._263,6,5,Vacancy rates increase when single occupants move out rather than entire groups leaving together.,2,1,0.95,"{
  ""entailment_score"": 1,
  ""confidence"": 0.95
}"
business|Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned|9|2|0a53edd2036adf75|0,business|Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned|9|2|0a53edd2036adf75,business,Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned,9,2,Past economic data loses relevance once it is fully priced into the market.,38_Second_Street_Summit_Moves_Online__Open_to_All,54,3,The speaker believes their own market exists but faces budget constraints due to the economic crisis.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
business|Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned|9|2|0a53edd2036adf75|1,business|Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned|9|2|0a53edd2036adf75,business,Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned,9,2,Past economic data loses relevance once it is fully priced into the market.,38_Second_Street_Summit_Moves_Online__Open_to_All,57,4,People who had stable lead pipelines in the past are now seeking external help due to changing market conditions.,2,3,0.7,"{
  ""entailment_score"": 3,
  ""confidence"": 0.7
}"
business|JJ_Whitehead__Making_a_living_as_a_Comedian|41|1|60fbbce2678ed380|0,business|JJ_Whitehead__Making_a_living_as_a_Comedian|41|1|60fbbce2678ed380,business,JJ_Whitehead__Making_a_living_as_a_Comedian,41,1,The speaker’s personal judgment about what works is not necessarily aligned with audience reception.,The_Short_Squeeze__Could_there_be_an_Iron_Ore_trade_war,0,0,"This is the short squeeze, a podcast about what's happening in financial markets in the coming week.",2,1,0.85,"{
  ""entailment_score"": 1,
  ""confidence"": 0.85
}"
