assumption_id,category,source_episode_id,source_turn_idx,source_assumption_idx,source_speaker_id,assumption_text,control_episode_id,control_explicit_claim_count,matched_control_claims,selected_control_claims,scored_pairs,max_entailment_score,mean_entailment_score,entailed,best_claim_text,best_claim_turn_idx,best_claim_idx,best_overlap_score,best_confidence
religion|121_-_Seeing_the_Christ_in_All_of_Us|34|2|8cf0f4ed7b5b34e6,religion,121_-_Seeing_the_Christ_in_All_of_Us,34,2,SPEAKER_00,The audience recognizes 'quote card' as a recognizable format or term within the context.,Mission_Statement,148,2,2,2,5,5.0,False,The format may involve informal or conversational dialogue with the audience.,7,3,2,0.800000
religion|116__Finding_a_Solution|14|4|df14d8e8c7a8b5e2,religion,116__Finding_a_Solution,14,4,SPEAKER_00,Audience members likely experience similar feelings of frustration when facing technical hurdles.,What_Jesus_Wants_His_People_To_Do_3,13,0,0,0,0,0.0,False,,,,,
political|45951|9|1|de70192f1c23be3c,political,45951,9,1,SPEAKER_01,The term 'hyper-partisan' carries a negative evaluative connotation in this context.,87421,145,0,0,0,0,0.0,False,,,,,
political|84508|17|4|dabea85243418bfd,political,84508,17,4,SPEAKER_02,"Many women lack role models or visible representation in politics, which discourages participation.",84158,221,0,0,0,0,0.0,False,,,,,
commentary|89_-_Ryan_Papaioannou|93|4|e5f18f117d938b45,commentary,89_-_Ryan_Papaioannou,93,4,SPEAKER_00,The speaker trusts their own judgment about what constitutes meaningful detail in this context.,Day_12_of_Protest_Marches_in_Detroit__Will_It_Work_This_Time__A_Look_Back_at_Detroit_s_History_Between_Residents_and_Police_-_With_Historian_Ken_Coleman_2,117,3,3,3,1,1.0,False,The speaker has previously warned others about systemic racial injustice.,4,5,2,0.950000
business|Episode__103__Open_for_Business__Making_Your_Website_Accessible_to_All_Users|22|7|f20b6249d3499250,business,Episode__103__Open_for_Business__Making_Your_Website_Accessible_to_All_Users,22,7,SPEAKER_00,Marketing teams can effectively integrate accessibility into their workflows with guidance.,165__Taylor_Davidson___Acknowledge_Process,21,0,0,0,0,0.0,False,,,,,
business|It_s_All_About_The_NET|3|4|a9606a33cf616c4c,business,It_s_All_About_The_NET,3,4,SPEAKER_01,Financial advisors typically fail to address strategic asset location for tax efficiency.,The_Problem_With_Payday_Lenders_with_Travis_Holoway,137,0,0,0,0,0.0,False,,,,,
religion|10__Spiritual_Disciplines__Worship|17|1|6e8df167a3aed2af,religion,10__Spiritual_Disciplines__Worship,17,1,SPEAKER_01,True worship requires full personal engagement across all aspects of self.,A_Right_View_Of_My_Place_In_the_Church_of_God_-_Audio,72,0,0,0,0,0.0,False,,,,,
business|How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following|37|1|ac2c099f20035e6e,business,How_Do_I_Monetize_My_Brand_Now_That_I_Have_a_Bit_of_a_Following,37,1,SPEAKER_01,The speaker believes their idea would be seen as fun and worthwhile by others.,Teen_Vogue_editor-in-chief_Lindsay_Peoples_Wagner_on__long__sustainable_change,291,5,5,5,1,1.0,False,The speaker believes the person they are addressing grew up in Wisconsin.,8,3,2,0.950000
political|80094|5|3|824236813d6610a2,political,80094,5,3,SPEAKER_00,Criticisms of Biden’s foreign policy and domestic regulations are seen as legitimate reasons for shifting political allegiance within elite tech circles.,64492,109,0,0,0,0,0.0,False,,,,,
religion|Proverbs_1_2|0|6|4934f9e1ea84377c,religion,Proverbs_1_2,0,6,SPEAKER_00,The Book of Proverbs contains universally applicable life wisdom.,God_or_Google,16,0,0,0,0,0.0,False,,,,,
business|Making_Career_Transition_Work__with_Dr._Eric_Wright_from_Vets2PM|31|2|56afe31bd6416954,business,Making_Career_Transition_Work__with_Dr._Eric_Wright_from_Vets2PM,31,2,SPEAKER_00,My experiences with hardship give me credibility and insight when helping others.,9__All_Things_Associates_-_Larry_Wintersteen,315,1,1,1,1,1.0,False,"We'll give you a free no of charge, some things that need to be looking at that you need to look at when you put together that associate agreement.",56,4,2,0.800000
business|Paul_Romer_on_the_COVID-19_Pandemic|62|0|c43674e1c1d4ef84,business,Paul_Romer_on_the_COVID-19_Pandemic,62,0,SPEAKER_01,The speaker believes that certain behaviors need to be controlled by others.,304_Chuki_Obiyo_-_Chuki_Law,123,1,1,1,1,1.0,False,The speaker believes that answering six questions within nine minutes demonstrates effective brevity.,22,7,2,0.850000
business|Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party|7|4|436d94f051bce729,business,Govt_ignoring_forestry_industrys_concerns_with_Hamish_Walker__Spokesperson_for_Forestry__National_Party,7,4,SPEAKER_01,The speaker has access to accurate information about committee proceedings and government actions.,A_Love_Letter_to_Black_Women_in_Theatre_with_Guest_Renee_Harrison,278,7,7,7,1,1.0,False,The speaker believes that incoming individuals should genuinely want to learn about racial justice issues.,5,2,2,0.950000
business|Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines|45|5|fe283802c7be6bc1,business,Ep._164_How_To_Help_People_Stay_Active_And_Safe_With_Their_Everyday_Routines,45,5,SPEAKER_00,The listener is expected to understand or care about entrepreneurial processes involving international manufacturing.,How_A_Mom_s_Twist_Of_Fate_Saved_Her_Depressed_Teen_s_Life,312,2,2,2,3,2.0,False,The speaker values learning about the practical steps taken by the listener.,21,1,2,0.800000
political|85597|1|6|4093d63cebdd1714,political,85597,1,6,SPEAKER_00,Real estate investment is accessible and scalable enough for individual participation.,92292,150,0,0,0,0,0.0,False,,,,,
religion|Episode_023__Sex_Trafficking_Signs_For_Pediatricians_to_Recognize_While_Seeing_Patients|16|0|a466d130083b82bf,religion,Episode_023__Sex_Trafficking_Signs_For_Pediatricians_to_Recognize_While_Seeing_Patients,16,0,SPEAKER_00,Medical professionals have a responsibility to proactively share critical safety knowledge with peers.,Apocalipsis_16_1-9,20,0,0,0,0,0.0,False,,,,,
commentary|Immigration_Restrictionists_on_the_March|4|2|6ba322dc654dd54f,commentary,Immigration_Restrictionists_on_the_March,4,2,SPEAKER_00,Restrictions on visa applicants constitute meaningful immigration policy changes.,Trevor_Tordjman_-_September_Commentary,8,0,0,0,0,0.0,False,,,,,
business|Advice_from_our_Audience_-_Creative_Thinking|9|0|6dc7773fbc71a753,business,Advice_from_our_Audience_-_Creative_Thinking,9,0,SPEAKER_00,Future self-awareness and reflection are valuable personal outcomes.,Episode_03__Tapping_the_ASEAN_Market__How_Dome_Xharoensiri_Grew_his_Thai_Brand__SeoulStone__to_a_Household_Name,289,0,0,0,0,0.0,False,,,,,
business|The_Courage_to_Trust_Yourself_More_with_Lisa_Carpenter|2|6|b6c37ec87bb86e32,business,The_Courage_to_Trust_Yourself_More_with_Lisa_Carpenter,2,6,SPEAKER_00,Self-awareness about core values is essential for credible positioning.,KFC_s_Branding_Recipe__Josh_Benge__KFC,520,0,0,0,0,0.0,False,,,,,
religion|WOVE_Inspiration_Monday_Motivation_with_special_guest__podcast_Host_of_Yellow_Bee_Pod__Natalie_Cheung|6|1|c75bf641e8a30522,religion,WOVE_Inspiration_Monday_Motivation_with_special_guest__podcast_Host_of_Yellow_Bee_Pod__Natalie_Cheung,6,1,SPEAKER_00,The listener values health and long-term well-being.,Living_out_our_faith_by_serving_others__Rich_Wolfe_preaching,20,0,0,0,0,0.0,False,,,,,
religion|012__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White|41|2|99f1f41c237c2652,religion,012__Devotions_with_Pastor_Dan_White_and_Pastor_Ben_White,41,2,SPEAKER_01,"Good counsel involves both sincerity and accuracy, and the two are not equivalent.",Ep._248__Take_Back_Your_Power_with_Dr._Christiane_Northrup,131,1,1,1,9,9.0,True,Healing involves both the provider’s expertise and the patient’s self-awareness.,5,2,2,0.950000
sports|Season_3__Ep_13__Fantasy_Love_is_Blind__The_Grocery_List_Start-Up_Episode__Evergreen|39|7|7583a277426d385c,sports,Season_3__Ep_13__Fantasy_Love_is_Blind__The_Grocery_List_Start-Up_Episode__Evergreen,39,7,SPEAKER_01,Rahim Mostert is expected to perform at a level commensurate with a $14.7 million salary.,Project_WDWK_Restart,559,0,0,0,0,0.0,False,,,,,
business|The_Biggest_Challenge_of_My_Career__Keeping_Up_with_Telehealth_Coding_Changes_During_COVID-19|27|9|34fc969d471c5418,business,The_Biggest_Challenge_of_My_Career__Keeping_Up_with_Telehealth_Coding_Changes_During_COVID-19,27,9,SPEAKER_00,The audience trusts the speaker's judgment and will act upon the recommended actions.,Andy_Smith___Strategiq,223,1,1,1,3,3.0,False,The speaker believes they need to act on decisions now that will impact the company's market position in six to twelve months.,9,0,3,0.700000
political|72457|15|4|6927f632c64917b3,political,72457,15,4,SPEAKER_00,The audience shares the speaker's understanding of 'good trouble' as positive and necessary.,83401,83,0,0,0,0,0.0,False,,,,,
religion|Pammy_Boulas__My_ability_is_stronger_than_my_disability|1|2|90e7cdc30278f34b,religion,Pammy_Boulas__My_ability_is_stronger_than_my_disability,1,2,SPEAKER_00,The speaker values emotional validation and public acknowledgment of achievement.,3._Will_There_Be_A_Chick-fil-A_In_Heaven,83,0,0,0,0,0.0,False,,,,,
business|Ep._2___Hope_in_the_Midst_of_Crisis__with_Rachel_Hope_Henry|7|1|88d296bfb16d05ca,business,Ep._2___Hope_in_the_Midst_of_Crisis__with_Rachel_Hope_Henry,7,1,SPEAKER_01,Significance is determined by cultural or media consensus rather than individual judgment.,13__Selecting_Teams_to_Drive_Culture_and_Growth___Customer_Service___Leadership,19,1,1,1,1,1.0,False,Employees are increasingly choosing employers based on leadership rather than corporate brand alone.,1,7,2,0.800000
business|Coding_Is_NOT_for_You|24|3|95c144ac2d43a472,business,Coding_Is_NOT_for_You,24,3,SPEAKER_01,"Native system-level integrations (e.g., camera hardware access) lead to better user experiences than third-party app implementations.",Is_this_how_you_attract_millennials__You_decide,144,1,1,1,1,1.0,False,The I sim system's tool is user-friendly.,25,2,2,0.950000
business|Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt|43|8|efdae11117597e9c,business,Adventures_in_the_TV_Wasteland_with_Billy_Van_Zandt,43,8,SPEAKER_01,The speaker’s team had high competence in rapid adaptation and production under pressure.,175__Shelley_Paxton__Soulbbatical__Living_with_Authenticity_and_Courage,342,2,2,2,1,1.0,False,The speaker had recurring nightmares involving their deceased dog in distress.,5,8,2,0.950000
political|71769|3|1|59a1337a30a17855,political,71769,3,1,SPEAKER_00,Public figures have a responsibility to set behavioral examples during public health crises.,71757,146,2,2,2,9,6.0,True,Amelia Sykes has introduced legislation declaring racism a public health crisis in Ohio.,15,2,2,0.950000
political|84069|30|1|b566b6bc616a1229,political,84069,30,1,SPEAKER_03,The presence of multiple manufacturers at a breakfast event indicates some level of community or professional engagement.,48869,235,0,0,0,0,0.0,False,,,,,
business|Serving_Patients_and_Doing_Business_in_Spite_of_COVID-19_w__Tashfeen_Ekram__MD|35|1|e101e5930ebe21a0,business,Serving_Patients_and_Doing_Business_in_Spite_of_COVID-19_w__Tashfeen_Ekram__MD,35,1,SPEAKER_01,Healthcare stakeholders prioritize accessibility and efficiency in delivery models.,The_INDUStry_Show_w_Jim_Semick,247,0,0,0,0,0.0,False,,,,,
business|Chris_Moule|7|4|01a53600968864e9,business,Chris_Moule,7,4,SPEAKER_00,The audience shares the speaker’s interest in organizational innovation and development.,Access_to_Justice_in_Puerto_Rico_in_the_Time_of_COVID-19_-_Diego_Alcala,93,2,2,2,5,4.0,False,The audience and speaker are united despite being in seclusion.,16,5,2,0.750000
political|47164|3|3|c49b98c8959c9fae,political,47164,3,3,SPEAKER_00,The speaker expects the listener to recognize the relevance of these interconnections.,75755,154,0,0,0,0,0.0,False,,,,,
political|45378|6|5|d1cd26beefc4e2d8,political,45378,6,5,SPEAKER_00,Public perception of law enforcement effectiveness depends on credible communication about agency coordination.,74623,290,2,2,2,3,2.0,False,"Trust in federal institutions, particularly law enforcement and the FBI, is very low.",12,4,2,0.700000
business|Dream_Team_Podcast__11_-_Alicia_Palermo|3|3|f1a3c3c00aa2ff69,business,Dream_Team_Podcast__11_-_Alicia_Palermo,3,3,SPEAKER_01,"Family members, especially elders like grandmothers, are expected to play a role in naming babies.",USV__Thesis_Driven_Investing_for_Building_Conviction,270,1,1,1,1,1.0,False,We play a pretty active role in helping companies raise additional capital.,23,0,2,0.800000
political|46653|33|0|08cd81c7bfa0d9c2,political,46653,33,0,SPEAKER_01,The listener has sufficient background knowledge to understand what 'that' refers to.,49515,231,0,0,0,0,0.0,False,,,,,
business|DSS081__What_is_Reduced_Explosion_Pressure__Pred__with_Burke_Desautels|23|2|cf8b0be94d03df4e,business,DSS081__What_is_Reduced_Explosion_Pressure__Pred__with_Burke_Desautels,23,2,SPEAKER_01,Familiarity with seven dash 76 is a reasonable expectation for someone entering the field of explosion protection engineering.,How_To_Cope_With_The_Entrepreneurial_Stress_Dilema,250,0,0,0,0,0.0,False,,,,,
business|This_is_who_we_are_and_what_we_are_here_to_do|10|2|c25500427bded50d,business,This_is_who_we_are_and_what_we_are_here_to_do,10,2,SPEAKER_01,The speaker considers 'hard' to mean objectively challenging rather than merely subjective experience.,Listener_Question__The_Pros_and_Cons_of_Student_Rentals_in_Property_Investment___Ep._263,64,3,3,3,1,1.0,False,Vacancy rates increase when single occupants move out rather than entire groups leaving together.,6,5,2,0.950000
business|Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned|9|2|0a53edd2036adf75,business,Comparing_Bear_Markets_Through_the_Years_and_Lessons_Learned,9,2,SPEAKER_00,Past economic data loses relevance once it is fully priced into the market.,38_Second_Street_Summit_Moves_Online__Open_to_All,394,2,2,2,3,3.0,False,The speaker believes their own market exists but faces budget constraints due to the economic crisis.,54,3,2,0.700000
business|JJ_Whitehead__Making_a_living_as_a_Comedian|41|1|60fbbce2678ed380,business,JJ_Whitehead__Making_a_living_as_a_Comedian,41,1,SPEAKER_00,The speaker’s personal judgment about what works is not necessarily aligned with audience reception.,The_Short_Squeeze__Could_there_be_an_Iron_Ore_trade_war,128,2,2,2,1,1.0,False,"This is the short squeeze, a podcast about what's happening in financial markets in the coming week.",0,0,2,0.850000
business|ADPI_141__How_To_Manage_Short_Term_Rentals_With_Greg_Rollins|13|9|916efc8959252319,business,ADPI_141__How_To_Manage_Short_Term_Rentals_With_Greg_Rollins,13,9,SPEAKER_01,The speaker’s credibility is enhanced by personal military affiliation and lived experience.,Take_Action_podcast_season_2_episode_21_with_Monte_and_Yura._Season_2_Finale_episode._Best_of_the_best_podcast_jam_session_with_Monte_and_Yura,350,4,4,4,9,6.0,True,The Take Action podcast originated from the speaker’s experience with the Body Family program.,20,3,2,0.950000
commentary|The_Breakdown_-_Episode_2.8|44|4|d34bbdabc959716c,commentary,The_Breakdown_-_Episode_2.8,44,4,SPEAKER_01,The speaker's audience values progressive LGBTQ2S+ policies and recognizes contradictions between provincial and municipal actions.,Post_Pandemic_Plan__COVID-19_NJ_Judicial_Orders_-_June_10th_and_11th,17,0,0,0,0,0.0,False,,,,,
business|167__Selling_to_enterprises_with_Brian_Burns|30|1|ecb2f54fed2a07a3,business,167__Selling_to_enterprises_with_Brian_Burns,30,1,SPEAKER_01,"A flexible, exploratory phase increases the likelihood of project success.",Meet_Madi_Warnock_from_Galt_Juice_Company,255,0,0,0,0,0.0,False,,,,,
business|Resilience_by_Proliance__Faraz|0|0|8f2821a2d6baa8bf,business,Resilience_by_Proliance__Faraz,0,0,SPEAKER_00,Audiences value stories of personal resilience during crises.,Why_its_not_always_as_easy_as_changing_our_thoughts_change_our_world,32,0,0,0,0,0.0,False,,,,,
business|Episode_153__Living_A_Multi-Hyphen_Life___Your_Online_vs._Real_Self|43|1|27999f5195172665,business,Episode_153__Living_A_Multi-Hyphen_Life___Your_Online_vs._Real_Self,43,1,SPEAKER_01,External validation through digital platforms undermines genuine self-worth.,Matt_Rivitz_-_How_To_Bankrupt_Bigotry,373,0,0,0,0,0.0,False,,,,,
religion|GOD_S_TRUE_PLAN_FOR_MARRIAGE___SEX__PART_18|18|5|bd7ba9a3adce5acb,religion,GOD_S_TRUE_PLAN_FOR_MARRIAGE___SEX__PART_18,18,5,SPEAKER_00,Plural marriage is biblically permissible under specific conditions and should not be dismissed as heresy.,Searching_for_a_King_-_1_Samuel_8_1-22_-_Neal_Grogan,20,0,0,0,0,0.0,False,,,,,
political|51276|0|3|dd1cd78fce8de14e,political,51276,0,3,SPEAKER_00,Audiences value expert insights from high-level policymakers on complex issues like cybersecurity.,48868,113,1,1,1,5,5.0,False,The American public deserves thorough examination of complex societal issues.,8,4,2,0.750000
business|Dr._Paul_Offit|15|4|d78da51f67826f31,business,Dr._Paul_Offit,15,4,SPEAKER_00,Cultural depictions like 'Mad Men' serve as reliable evidence for broader societal norms about childhood.,2__Shift_To_A_Cashless_World,155,0,0,0,0,0.0,False,,,,,
business|3_Aaron_Brown_Risk_Management__Gambling_and_Wall_Street|10|2|ac3163766c02b77a,business,3_Aaron_Brown_Risk_Management__Gambling_and_Wall_Street,10,2,SPEAKER_01,Personal experiences with financial crises are credible foundations for expertise in risk management.,The_Money_Gap_Part_3,25,0,0,0,0,0.0,False,,,,,
business|Hammer_Metals_Ltd.__HMX__-_Fighting_Against_Gold_Investor_Fatigue|13|0|f1404a33bac3ee8d,business,Hammer_Metals_Ltd.__HMX__-_Fighting_Against_Gold_Investor_Fatigue,13,0,SPEAKER_01,Investor preferences reflect market trends that favor gold over copper.,LinkedIn_Lead_Gen_Form_Ads_-_Should_You_Use_Them__-_Ep_17,42,0,0,0,0,0.0,False,,,,,
business|Ask_an_Artist__Buying_Art_Materials|48|3|7ceadcd36c05e57e,business,Ask_an_Artist__Buying_Art_Materials,48,3,SPEAKER_00,"Online retailers like Cass Art, Jackson's, and Great Art are standard go-to sources for art materials.",Facebook_Ads_Funnel_Strategy_Plus__Facebook_ads_re-targeting_funnel,20,0,0,0,0,0.0,False,,,,,
business|The_Power_of_Masterminds___Ronan_Leonard___Episode_119|1|1|488395936e19818b,business,The_Power_of_Masterminds___Ronan_Leonard___Episode_119,1,1,SPEAKER_00,Positive anticipation toward Scott reflects shared enthusiasm within the group.,Small_Talk_with_Valarie,48,0,0,0,0,0.0,False,,,,,
business|Launching_A_D2C_Startup__Hubble_Co-Founder___Co-CEO__Jesse_Horwitz|4|3|4b799cba1c782eb0,business,Launching_A_D2C_Startup__Hubble_Co-Founder___Co-CEO__Jesse_Horwitz,4,3,SPEAKER_01,The speaker believes the listener has relevant experience or knowledge about the pre-launch process.,Master_Communicator_Podcast_with_Akhil_Mittal,113,6,6,6,9,2.6666666666666665,True,The listener has experience in both technology and sales.,7,4,3,0.950000
business|Kabir_Shahani_CEO_of_Amperity|13|4|23721481ffec60e9,business,Kabir_Shahani_CEO_of_Amperity,13,4,SPEAKER_00,Big data was a recognized concept during the time period referenced.,Virtual_Real_Estate_Investing_with_Lauren_Hardy_-_Episode_641,255,2,2,2,1,1.0,False,I maintained a 45-hour workweek during the period when I was building my financial foundation.,9,2,2,0.800000
commentary|Whew_Chile_the_Grad_Depression|161|2|f4cab6ff8030e0b1,commentary,Whew_Chile_the_Grad_Depression,161,2,SPEAKER_00,Job market challenges experienced during the pandemic remain relevant today.,The_Global_Fight_Against_COVID-19_2,166,6,6,6,3,1.3333333333333333,False,Donald Trump chose not to impose uniform mandates on U.S. states during the pandemic.,4,6,2,0.700000
business|Understanding_Grief_And_Loss_-_Episode_3|43|3|b67d452c55cf7d48,business,Understanding_Grief_And_Loss_-_Episode_3,43,3,SPEAKER_00,Empathetic communication prioritizes emotional presence over problem-solving.,ESG_Considerations_for_Asset_Managers_in_Light_of_the_COVID-19_Pandemic,45,0,0,0,0,0.0,False,,,,,
business|Dancing_with_Startups__The_rise_of_the_Minimalist_Brands_-_CEO_Five_Dot_Botanics_Zaffrin_O_Sullivan|6|3|9988b5fe429e9dd1,business,Dancing_with_Startups__The_rise_of_the_Minimalist_Brands_-_CEO_Five_Dot_Botanics_Zaffrin_O_Sullivan,6,3,SPEAKER_01,The speaker assumes they have permission or appropriate context to ask probing questions about the listener’s choices.,EP__17__How_to_Create_Content_That_Gets_You_Links__That_Get_You_Traffic_ft._Tim_Brown,330,5,5,5,3,1.8,False,The speaker knows about 'the pointy point of view'.,13,2,2,0.700000
business|How_to_Make__10_000__Before_Your_Book_Hits_Shelves|2|6|297fa419485c509b,business,How_to_Make__10_000__Before_Your_Book_Hits_Shelves,2,6,SPEAKER_00,There exists a gap between writing a book and achieving real-world impact from it.,How_a_digital_dollar_could_be_included_in_COVID-19_relief_with_FS_Vector,106,2,2,2,1,1.0,False,There exists another person named John Collins who is an NBA player.,17,2,2,0.950000
political|78052|5|2|30a6b5f19f92d513,political,78052,5,2,SPEAKER_02,Government officials and institutions act strategically to avoid public accountability for controversial scientific decisions.,88122,318,0,0,0,0,0.0,False,,,,,
religion|Perseverance_Devotional_1|39|0|f78f059a1817f485,religion,Perseverance_Devotional_1,39,0,SPEAKER_00,Entry into heaven requires moral or spiritual merit.,Buddhism__Intro_to_Noble_Eightfold_Path_6___Right_Effort__-_Ajahn_Dhammasiha,18,0,0,0,0,0.0,False,,,,,
business|291_-_What_is_the_Defense_Production_Act__What_is_a_rated_order|16|7|5ac0467a421b6985,business,291_-_What_is_the_Defense_Production_Act__What_is_a_rated_order,16,7,SPEAKER_01,Audience members may encounter contracts with these designations in their work.,5_Keys_to_Success,24,0,0,0,0,0.0,False,,,,,
business|174__Steve_Lucas___CEO_at_iCIMS___The_NEW_Future_of_Work|39|1|f4c89da85fa7e636,business,174__Steve_Lucas___CEO_at_iCIMS___The_NEW_Future_of_Work,39,1,SPEAKER_01,A 'learn it all' mindset leads to better long-term outcomes than a 'know it all' mindset.,The_People_s_Resource_Center._Supporting_Neighbors_During_COVID-19,90,0,0,0,0,0.0,False,,,,,
business|Media_Masters_-_Alessandra_Stanley|89|3|c07969a4fa83c792,business,Media_Masters_-_Alessandra_Stanley,89,3,SPEAKER_01,The speaker believes their initial reaction reflects a valid concern about workplace culture.,224_-_Show_Promoters_Beware___with_Rich_Klein,175,4,4,4,3,1.5,False,The speaker believes that the behavior of those people was noteworthy.,24,2,2,0.800000
