prompt,turn_text,n_explicit,n_implicit,n_assumptions,avg_confidence,is_valid,has_keys
prompt1,"discussed. >> So this is the foundational premise of the company started about just over three years ago, was that if we could augment the intelligence of the human, if we could create kind of an AI mentor software bot that could tap you on the shoulder and say, but just same way a 30 year operator within those operations where they'd say, ""Hey, I've seen this before. ""I can't really recall, but I know when this happens ""and these things are put into the machine, ""we need to do these extra work ""or we need to be careful of these other considerations."" The software bot, this analytic engine called Razor, that's our product, listens to all the underlying signals that already exist in manufacturing. So we grab the data as it is, where it is, without the need to do all that rationalization and harmonization and then listen for signals that we can feed back to the operator and say, ""Here's an insight that you probably didn't catch, ""something you may want to attend to ""with an understanding that an operator is going to do it, ""not do it or do something completely different."" But whatever that action is, gets picked back up by that model again, and the next turn of the crank, it's even smarter and provides even better insights. So it starts with what you have. It starts right now. We're providing these insights to companies in as little as 15 to 30 days that they're able to go back in and use with their teams, the teams then take an action that impacts the data, the data that impacts the team, and it becomes that kind of virtuous cycle of the augmented human and the intelligent machine working",13,5,5,0.818,True,True
prompt1,"loop. - That's exactly what it is. But the key is to understand that in all of manufacturing, we're solving a class of problem. How to pull insights that are hidden inside the data you've already got. So go back to the beginning where we said, ""You may only have a couple pieces of data."" We don't need to have all the information, all the data about this node. We can take information from along the process or in a plant and actually pull from that what nominal behavior is, and then that exposes with the sub-optimal behavior is. And when we see that, that allows us to give some direction. And that's really based on the power of the tools that are available today around AI and machine",7,5,5,0.818,True,True
prompt1,"them. - Well, you can find it on the internet pretty easily, but the A380, the aircraft that had a catastrophic failure on an oil line at a leading edge of a wing in flight. Thank God they had the most seasoned crew on the aircraft. They had trainers on the aircraft that just happened to be flying. They really knew what they were doing. They would have lost the aircraft easily. But what happened was it took them something like 45 minutes to clear all the alarms in the cockpit just so the team could determine what their next best action was. So if all we're hearing are these alarms sounding and we're not getting any context with them, if we're not getting insight with them, and we don't realize one of them is a fire alarm that we need to get out, let alone reset a piece of equipment, then the consequences could be catastrophic. Now, they're not always that life and death, but in an operation, right and same, think about what we're doing right now. I've either got a control cost, much more tightly because my market's collapsed. I've got a control production much more tightly because I'm in a surge that I can't even control. People are buying more of my product than ever before. Or I'm bringing a new product in because half my plants close, the other half are in the food companies are taking all their institutional package and moving it to commercial and retail packaging. How do I get that started up without making all the mistakes everybody made before? I wanna learn from the insights that are buried in the data, I wanna do these things. So it's a tremendous opportunity for literally any manufacturer right now to take advantage of what they've got, improve the process and start this cycle of digital",15,10,5,0.818,True,True
prompt1,". - Yeah, it's, look, it's an exciting time. The manufacturers are in a great position. If they're thinking ahead, if they're thinking about, what can I do differently to create more value tomorrow? I can bring in all kinds of consultants and technology and people to drive things next year. But what are we gonna do tomorrow next week? What are we gonna do with the tools and technologies that we have? What can we add to it just to complement that mix and then drive the process? I think that's where people need to be focused 'cause there's tremendous opportunity, frankly, everywhere. We've not engaged a company where we couldn't help them drive performance very, very quickly. -",8,5,5,0.818,True,True
prompt1,"in the Azure marketplace. So literally you can go to the Azure marketplace and you can execute and start the technology and the technology deployment. It drops in very, very quickly. It would be merely a matter of exposing historical data securely so that we could then push it through. We're cloud-based, so we're on Azure. That's where our technology resides. It can run locally if that's a requirement. The manufacturers, sometimes you have these operations that have a security requirement based on what they produce where they can't, they need to air gap things. If that's necessary, you can do that. But typically it's on Azure. That data would then come into the analytic engine. We would report the insights back and we would within a week to two weeks start providing value to the operation literally from the time they say, let's go, let's get started",11,7,5,0.818,True,True
prompt1,"? - So I think they should go to the Azure marketplace. We're gonna have a short link on the screen, but I'm gonna read it here to you just in case you want to write this down. It's gonna be HTTPS colon slash slash bit.ly I'll lowercase slash two capital V, small queue, capital J, small G91. You'll see that on the screen. It'll be in the show notes. And you can get to the Azure marketplace. And there's a lot of great tools and technologies there. I mean, it's a tremendous resource that Microsoft's providing for manufacturers and really anybody in the space that's trying to deploy new advanced technologies",10,5,5,0.818,True,True
prompt1,"I cannot overemphasize what it's done. So we were a startup three years ago. We've got several Fortune 100 customers at this point. We're closing deals every quarter, new customers and new use cases and deployments. And the ability to get from that first concept to scalable deployable secure technology is really about how we've been able to leverage the Microsoft tools, leverage Azure. And now most importantly, the Azure marketplace to get more awareness of our technology out in the space and allow customers to access more quickly. So from literally every aspect, the Microsoft team has been fantastic. And we're working with some great folks and they've helped us and they really understand if you're a startup, if you're a young company, you can get swallowed up by large organizations. It can be very difficult. They actually understand how to work with younger smaller organizations that need to get their first wins in place and then build on that. And they've just been a fantastic partner from the technology, to the partnership programs, to just visibility about what we're doing in the",13,5,5,0.818,True,True
prompt1,"? - So they should go to the manufacturing marketplace. So that's mfgmarketplace@microsoft.com and they can get into the manufacturing, the Microsoft Manufacturing Group and they can start looking at the marketplace rewards there as well. So that's mfgmarketplac.com and we'll have a link there as well. - Great",6,5,5,0.818,True,True
prompt1,you? - So they can find us at Praymo.com. That's p-r-a-e-m-o.com. We're on Twitter at Praymo.ai and you can send an email info@praymo.com. We're on LinkedIn as well. You can find this very easily in the search box. Just type them in Praymo and you can find myself there as well. Love to connect with folks,9,5,5,0.818,True,True
prompt1,"audience? - So we're in a kind of an interesting time. There'll be a time where this conversation will get replayed and we'll be well past this disruption that's going on right now. And it's always amazing to me when you see the general public learn about things like manufacturing supply chains and the criticality of manufacturing operations and companies that need to be able to flip products on a dime would go from making literally automotive parts to ventilator parts in a matter of weeks. And there's a capability and a resilience and an ingenuity that exists in the manufacturing space and has been, it's kind of been stifled because most folks and reasonably so want to make this data based decisions. Microsoft has given us tools now to go all the way down to the metal and get that information out of these machines. We're building tools that allow us to actually use that data as is and start things very quickly. If you allow, if you really believe in your teams and their capability and understand like that manufacturing manager that I talked to and said, this is a time that's going to give them an experience and capability like they've never had before, those people will step up. So challenge your teams, get them thinking about new, using new tools, using new techniques, using new approaches, you have to do it right now as we sit in the middle of this disruption. But your ability to do that and trust those teams and drive forward is going to pay dividends in untold ways for years to come in an operation based on how those people really drive and advance your organization and bring the best in their talent. I've been in manufacturing forever. The best people are in the supply chain teams and operations teams and they will work as hard on the goals of the organization as they will on anything. Giving some trust and some tools and they'll definitely be ready to go. -",17,7,5,0.818,True,True
prompt1,"Hi, it's Brian Rose and welcome to London Real. If you're listening to this podcast, it means that you're excited about learning and creating real change. Well, me too. That's why I started broadcasting this show eight years ago. And over that time, I've learned that change only happens when you take action. Maybe you've been thinking about what steps you could take in order to live a better life. But you're feeling stuck. Or don't know where to start. I understand, and that's why I created the London Real Academy to help people take that first step towards everything from starting their own business to recording their first podcast to speaking publicly or just to leading a healthier, more productive lifestyle. And today, I'm offering you a free one to one phone call with one of my London Real Academy coaches who can speak with you directly about your personal challenges and how we can help. There is no cost for this and no obligation. So if you're ready to take action, go to LondonReal.tv/change or click on the link to book your free coaching call and start your journey today. Now onto the show. The world is changing. Inspiration is everywhere. It has never been so easy to connect, share and bring people together. We're learning from others and finding the best in ourselves. Challenging our beliefs. Sharing our vulnerability. Overcoming our fears. Bringing ourselves so we can transform the world. How far can we go? This is LondonReal. I am Brian Rose. My guest today is... This is LondonReal. I am Brian Rose. My guest today is General Robert Spalding, the former US Air Force Brigadier General turned foreign policy strategist and author. For more than 26 years, you held integral roles at the Department of Defense, the State Department and in the Trump administration, you were the senior director for strategy to the president. You are a senior fellow at the Hudson Institute focusing on US-China relations and your work on 5G has reset the global environment for the next phase of cybersecurity. Your latest book, Stealth War, how China took over while America's elite slept, unveils the six-front war that China is waging on the United States, General Spalding. Welcome to London",24,10,5,0.818,True,True
prompt1,"Great to be here. It's great to be here and great to have you. I'm super excited for this. I just want to first of all announce that we are streaming now on our brand new digital freedom platform, which is a censorship-free, independent broadcasting system that is of the people, by the people, for the people. It's available exclusively on our website at LondonReal.tv. Robert, I pledge to you and everyone watching us that none of this conversation will be edited, censored, removed or banned and that anyone in the world can watch the full version of this episode free at LondonReal.tv/spalding. Thanks to the generous donations of 25,000 people around the world, I also call the London Real Army. For anybody wanting to become a founding member of the digital freedom platform, they can go to LondonReal.tv/freedom to donate and fight with us on the front lines to protect our human rights. Here at LondonReal, we've been a platform for free speech since 2011. Robert, I'm super excited to have you here today. I thought we would start by jumping right into it. It's a statement you made recently, which was, ""The Communist Party of China is responsible for the pandemic."" Please, Robert, explain.",15,5,5,0.818,True,True
prompt1,"Well, so a lot of people get hung up on the origin of the virus. I think that is an answer we're not going to have until the end of the Chinese Communist Party, which is normally true for any totalitarian regime. You don't get access to the archives until it fails. What we do know and what has been made public by the Communist Party itself was that on the 7th of January Xi Jinping was running the crisis in Wuhan, personally. Now, I know from my past as a defense attache and senior defense official in Beijing that when Xi Jinping gets eyes on a problem, a crisis or a budding confrontation between the US and China, he's very directive and has direct control. I was there in Beijing a week before they took the UUV in the South China Sea, which was an underwater glider. I watched how Xi Jinping executed direct control over the captain of the ship in the South China Sea as we were negotiating the return of that vessel. So I know that if he says on 7th of January, he was in charge of a crisis, he was in charge of the crisis. We also know that in December, the Chinese Communist Party knew about human-to-human transmission, and there's public evidence of that on the 13th of January. So 7th of January, he's in charge, 13th of January. They publicly acknowledge human-human transmission. And what's going on at this time? The highest peak season for traveling China for New Year's. So 7th of January, 13th of January, then 23th of January, they close Wuhan. Now the Wuhan mayor says at that time that already 5 million people have left Wuhan. We also know that based on a DHS report that came out this week, that they turned from a net exporter of PPE, protective gear for frontline responders for coronavirus, into a net importer during the same timeframe in January and February. So they're importing much more PPE than they're exporting. And at the same time that they're telling the WHO and everybody else that there's nothing to see here. So we have evidence there that it's definitely, it was purposely done. So disregard where the virus came from, the pandemic itself was purposely executed by the Chinese Communist Party for what means. We don't know, but we do know that they profited from the sale of PPE after the coronavirus started and were essentially exporting panic to the rest of the",18,10,5,0.818,True,True
prompt1,"contain it. That's exactly right. Actually, it's partially right. They began to take measures to contain travel domestically within China, but internationally they were continuing to promote that travel. And in late January, the president, our president basically banned travel to and from China, but what we didn't ban was travel to and from Europe. And so Europe was getting the travelers from Wuhan and that was infecting Europe. And then our major infections came on the east coast of the United States. No surprise because that was delivered from Europe.",8,5,5,0.818,True,True
prompt1,"it's facts. When you look at the information, it's not conjecture. You can actually see a pattern of behavior reinforced by the importing of PPE and the banning of exporting of PPE during the same timeframe that shows a premeditation in terms of what they were trying to",7,5,5,0.818,True,True
prompt1,"I think that's, I mean, you bring up a good point and when you don't understand the nature of the Chinese Communist Party, then you don't understand the way that they look at their own people. So the Chinese Communist Party actually is a regime that has in the past killed tens of millions of their own people. And they did this during the reign of Mao Zedong and Mao did it in the Cultural Revolution really primarily and with the rise of the Red Guards primarily to exert political control over leadership of the Chinese Communist Party. So he was willing to create chaos and cause a death of tens of millions in order for him to get political control. So when you don't actually view your citizens as citizens, but rather as subjects, then the ability to do whatever horrendous thing comes to mind because it benefits your own power becomes available. You can also look at the current regime and say, okay, well, they have concentration camps. They have forced organ harvesting of prisoners of conscience and they have the most executions of any country in the world. So clearly, this is a regime that doesn't care about what happened to his citizens. It's really about only power and",10,5,5,0.818,True,True
prompt1,", yes, and sad to say and it's horrendous and we would never think that way. But we live in countries where citizens are actually, it's not a government that is subservient, or not a people that are subservient to a government as in China. We live in governments that are subservient to their people. And that's a completely different philosophical approach to governing the country. And I think we've seen the difference particularly, there's a stark contrast between how the Chinese Communist Party approached the coronavirus and the government of Taiwan. The government of Taiwan being a democracy where the citizens, where the government is essentially under the power of the citizens really reacted quite differently. They sent investigators to Wuhan in December. They asked the right questions when they didn't get the right answers. They came back. They sent a letter to the WHO saying they were concerned about human transmission on one January. They started boarding aircraft coming from Wuhan to make sure that there was no infections. They started then banning flights to and from Wuhan and really began to institute more aggressive measures. And today they've had the best response of any nation out there in terms of how to respond to the coronavirus. It doesn't matter if you're an authoritarian regime or a democracy, their lessons learned from 2003 and SARS and the inability to trust what the Chinese Communist Party was saying, they put into action. And unfortunately, nobody else in the free world did. But if we just contrast those two models, clearly the openness of transparency, the really the caring of the citizenry that comes from a democracy shows very brightly in Taiwan in terms of how they address the issue.",10,5,5,0.818,True,True
prompt1,"Well, so, I mean, there's two ideas that I have come up with. The first was really the realization that their economy was going to be impacted as they began to deal with the repercussions of the spread of the disease. And why should their economy be the only one to suffer? The other is really about the price gouging that's been happening because they basically locked down the worldwide supply of PPE. So I think part of it was to make sure that they weren't the only ones affected negatively, but then also to positively profit from the spread of it by having all the PPE.",6,5,5,0.818,True,True
prompt1,"Oh, I'm sure there are, but let's go back to World War II. I think in the beginning Churchill was hammered because he was saying we need to do something about the Nazis. And in fact, most of the majority of people said, no, we need to kind of embrace them. We need to bring them into the family of nations. This is the same thing that's been going on in the United States and other countries, other democracies as the Chinese Communist Party has risen and gained more and more power. In fact, we help them gain in power. So I'm not surprised that there's still a large contingent of people that wants to give them the benefit of the doubt. But then you have to ask, you have to wonder, you know, the fact that we're talking about concentration camps and forced organ harvesting today, and that doesn't give them pause with regard to how we address this regime, you just have to wonder about what are their motivations, why do they think this way? And in fact, I've talked to a lot of them, quite frankly, their motivations are essentially profit-based. So I really don't have a lot of sympathy for the way they feel about the Chinese Communist Party, when a lot of it is based on the millions or billions that they're making based on their relationship with",9,5,5,0.818,True,True
prompt1,"them. I think you'd said before that, you know, for thousands of years, China was dominant in the world as a country. And then they took maybe the last 100 years off and struggled. But for them, this is something, it's almost like their birthright, right? They believe that in the long run, they should be the dominant force on this planet, and they're putting those plans into place.",5,5,5,0.818,True,True
prompt1,", it really is. And if you think about it, and if you live there, as I have, you understand that, you know, the Chinese are proud people. That being said, they're controlled by a regime of 80 million that really only has a few hundred that are in leadership positions that drive the entire society according to their own interests. And so, you know, this idea of, you know, a century of humiliation, that's been driven into the population based on forced indoctrination at all grade levels, based on the media, based on how they control the internet, you know, with the Great Firewall. That's all of these things aren't necessarily without the direct, you know, work by the Chinese Communist Party. Quite frankly, that was instituted after the Tiananmen massacre. So Tiananmen massacre occurs. There's a number of discussions. Those are released, you know, behind the scenes, Chinese Communist Party discussions, leadership. It's released as what's called the Tiananmen Papers. And if you go read those Tiananmen Papers, it's a number of speeches given by Chinese Communist Party leaders surrounding the discussion with regard to how they're going to deal with the protests in Tiananmen Square. And when you look at those discussions and the aftermath of the Chinese Communist Party led regime, they change very drastically from that point on to be much more ideologically oriented without forsaking their access to innovation, technology, talent and capital from the West. So they've designed their system based on their need to control the way the Chinese Communist Party think about the world. And they've been very effective at that using technology to do that. So, you know, if you look at the tech companies, the major tech companies today, you know, they are very powerful in essentially setting kind of the mood, you know, what people think about things, their influencers on a large scale. The Chinese Communist Party has adopted that technology and those business models to essentially digitize authoritarianism in a way that allows them to control the motivations, the leanings, the really the personality, the character of the Chinese people in ways that, you know, unless they come out in their deep program. And I refer here to Lee Yuan, who's a New York Times reporter and really writes about this in one of her op-eds about the digital, you know, Facebook era of Chinese Communist Party ideology, ideological control and understanding that she had to deprogram herself before she could understand, you know, another point of view, a more free and more kind of absence of censorship kind of point of view that until you see that, you're never going to think in a certain way that allows for anything but what the Chinese Communist Party has essentially placed before you. Yeah",16,7,5,0.818,True,True
prompt1,", there's an old expression that someone says, I don't know who discovered water, but it definitely wasn't a fish because that's its reality. And if you grow up in that where the state controls all, the narrative is repeated to you. I mean, imagine growing up in North Korea and then someone telling you at 10 years old that the great leader is wrong, you know, you would have this visceral reaction as in, you",3,5,5,0.818,True,True
prompt1,". Yeah, and you know, it's completely natural. And in fact, the more time they spend outside the country and because they travel with their social media systems, because they travel with Chinese language media everywhere is controlled by the Chinese Communist Party. We chat, weibo, all controlled and censored by the Chinese Communist Party. So these forms for, you know, getting on their Chinese language media and communicating, they don't leave those, that digital world when they go to the United States or they go to other free countries. They bring that with them, so they bring this ecosystem of influence. It doesn't go away. And so escaping that you really have to escape in some respects the Chinese language and really get immersed in the language that is different from your own so that you can begin to have a different point of view. Now, if you see interviews of Chinese students, whether they be in the United States or Australia, you say, you know, they'll say, well, do you love communism? Absolutely we love communism. communism is the best thing. And that's, you know, for the most part, when you walk the streets of China, that's the answer you get, but that's what's been inculcated in them from day one without any other idea allowed to enter their psyche. I'll give you an example. I'm in Taiwan earlier this year, monitoring elections, and I'm going around looking for the, I think it was a KMT campaign rally. And I was going to ask somebody, hey, how do you get to the KMT campaign rally? And I realized I was never taught, you know, in my Chinese, you know, classes, the word campaign rally. It doesn't exist in my vocabulary because I was taught to go live in communist China. So when you think about the power of language to really then control the way you, what you perceive in the world, you know, the fact that they probably never heard the word campaign rally and probably wouldn't understand what that meant is in a sort of democratic sense, really gives you an understanding of the power of language and the power of, you know, digital media and everything that's going on today to influence your foundations and what you think about the world.",12,5,5,0.818,True,True
prompt1,"Well, good. And I want to get into that in a bit more detail because I've had some guests recently that have said that the Chinese model is what's being planned for the West. And I want to get your thoughts on that lately as a brand we've been experiencing a little bit of that censorship on digital platforms, probably just in the beginning phases of that. Just to finish up on the coronavirus, you know, we've been told now in China and in Wuhan that there's no cases anymore. And yet I also hear that this CIA is monitoring the purchase of say funeral urns and those are spiking up. What do you think is the actual reality on the ground of coronavirus in China? And what do you think their game plan is for that virus for say the next couple of years when it comes to the world? Well,",7,5,5,0.818,True,True
prompt1,I think we can probably expect that it's somewhat like other nations have experienced after they've essentially arrested the sharp exponential rise of the disease and they're on the kind of a backside. So I'm sure they're continuing to have infections and they're continuing to have deaths. They're just at a lower level and they're declining. And I think their goal now as a goal of many nations is to begin to put the nation back to work and to put the factories back to work and to ensure the citizens have jobs because that's what keeps them in power,6,5,5,0.818,True,True
prompt1,"And I think they're starting to wake up to the fact that they're in a whole new world. They got a short term boost by ensuring that the rest of the world faced this economic calamity along with them and the fact that they were able to profit from the sale of PPE. But now they're left with the aftermath and the realization that the whole world really sees them for what they are now. And so there is going to be a reckoning and that reckoning is going to result in I think systemic decline in their economy over time. And I think they're coming to grips with that. And that's part of the report kind of saying that there's a concern that there might be armed confrontation. Of course, I think that's hyperbole. But it is nevertheless the case that relations between democracies and totalitarian China is really going to begin to be extremely afraid going forward and getting more",10,5,5,0.818,True,True
