analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses,diagnostic_question,contrast
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,45,0.006944444444444442,,,True,8,15,22,8,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
complete_case,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,41,0.004573170731707314,,,True,8,12,21,8,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
full,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,45,0.006944444444444442,,,True,8,15,22,8,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,4,0.026041666666666685,,,True,4,2,2,0,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_different_episode_assumptions_b256,raw_history_true_assumptions,raw_history_different_episode_assumptions,256,accuracy,41,0.005081300813008126,,,True,7,13,20,8,true_assumptions_vs_different_episode_control,raw_history_true_assumptions_b256 - raw_history_different_episode_assumptions_b256
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,166,0.005145582329317271,,,True,19,67,54,45,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
complete_case,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,166,0.005145582329317271,,,True,19,67,54,45,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
full,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,166,0.005145582329317271,,,True,19,67,54,45,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,19,0.0010964912280701773,,,True,7,9,3,7,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,147,0.005668934240362813,,,True,19,58,51,38,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,75,0.004722222222222222,,,True,12,19,47,9,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
complete_case,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,75,0.004722222222222222,,,True,12,19,47,9,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
full,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,75,0.004722222222222222,,,True,12,19,47,9,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,6,0.0034722222222222285,,,True,5,1,5,0,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,69,0.004830917874396135,,,True,12,18,42,9,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,41,0.0035569105691056918,,,True,8,11,22,8,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
complete_case,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,41,0.0035569105691056918,,,True,8,11,22,8,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
full,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,41,0.0035569105691056918,,,True,8,11,22,8,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,4,0.015625,,,True,4,2,1,1,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_same_episode_random_turn_assumptions_b256,raw_history_true_assumptions,raw_history_same_episode_random_turn_assumptions,256,accuracy,37,0.002252252252252253,,,True,7,9,21,7,true_assumptions_vs_same_episode_random_turn_control,raw_history_true_assumptions_b256 - raw_history_same_episode_random_turn_assumptions_b256
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,213,-0.0025430359937402185,-0.006945621468926551,0.004192947669965833,False,24,58,74,81,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
complete_case,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,166,-0.004518072289156626,,,True,19,43,59,64,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
full,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,213,-0.0025430359937402185,-0.0074824813996976205,0.0051789800096339045,False,24,58,74,81,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,24,0.008680555555555572,,,True,9,9,8,7,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,189,-0.00396825396825397,-0.009673191391941392,0.0025831826790633644,False,24,49,66,74,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,87,-0.0035919540229885053,,,True,12,22,40,25,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
complete_case,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,75,-0.0038888888888888875,,,True,12,18,36,21,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
full,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,87,-0.0035919540229885053,,,True,12,22,40,25,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,7,0.005952380952380947,,,True,5,3,3,1,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,80,-0.004427083333333332,,,True,12,19,37,24,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,45,0.0004629629629629601,,,True,8,13,20,12,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
complete_case,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,41,-0.0005081300813008152,,,True,8,12,17,12,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
full,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,45,0.0004629629629629601,,,True,8,13,20,12,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,4,0.005208333333333343,,,True,4,2,1,1,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_b256,raw_history_true_assumptions,raw_history,256,accuracy,41,-4.06179155350667e-18,,,True,7,11,19,11,incremental_assumption_value_over_raw_history,raw_history_true_assumptions_b256 - raw_history_b256
assumption_eligible,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,213,0.0026408450704225378,-0.0009415635158789696,0.00802018187323875,False,24,72,75,66,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
complete_case,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,166,0.004894578313253014,,,True,19,58,62,46,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
full,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,213,0.0026408450704225378,-0.001416780027324339,0.0071592623823895,False,24,72,75,66,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
sparse_explicit,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,24,0.0026041666666666804,,,True,9,7,9,8,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
dense_explicit,1,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,189,0.0026455026455026467,-0.0020503251213481112,0.0075005787037037055,False,24,65,66,58,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
assumption_eligible,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,87,0.0004789272030651343,,,True,12,22,43,22,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
complete_case,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,75,0.000277777777777779,,,True,12,19,38,18,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
full,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,87,0.0004789272030651343,,,True,12,22,43,22,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
sparse_explicit,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,7,-0.005952380952380947,,,True,5,1,4,2,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
dense_explicit,3,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,80,0.0010416666666666664,,,True,12,21,39,20,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
assumption_eligible,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,45,0.004629629629629632,,,True,8,14,22,9,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
complete_case,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,41,0.004573170731707316,,,True,8,12,21,8,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
full,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,45,0.004629629629629632,,,True,8,14,22,9,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
sparse_explicit,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,4,0.005208333333333343,,,True,4,1,3,0,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
dense_explicit,5,raw_history_true_assumptions_b256,raw_history_explicit_b256,raw_history_true_assumptions,raw_history_explicit,256,accuracy,41,0.0045731707317073185,,,True,7,13,19,9,implicit_vs_length_matched_explicit_augmentation,raw_history_true_assumptions_b256 - raw_history_explicit_b256
