episode_id,turn_idx,speaker_role,speaker_id,violation_type,violation_trigger,violation_source,severity,conversation_move_label,turn_type_label,word_count,turn_text,next_move,next_role,same_speaker_next,repair_next,challenge_next,self_repair_next,policed_next
49547,17,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,280,"Yeah, this is off of this collusion. potential to relative to the advertising world, and that we've found in our oversight work that you saw this with this organization called Garm. Now a lot of business, by the way, that was that was colluding to stay like, if it be a risk to your brain, if you advertise on the on the on the Bob Trans radio show, you know, because you know, he's he's too concerned and they've used different terms but it was an essence like box right bar uh... uh... daily tax uh... news max certain website certain platforms twitter as a platform just like don't advertise their service to your brand and and they all get together and they and they give rating it was a bunch of it as you know much that garm was harm garm is harm and so uh... it's all part of that type of effort and sometimes it's done with this proxy voting and and and uh... these organization climate action one hundred who are trying to influence companies in the energy sector so it's all part of that uh... investigative work that we did and and oversight work that we did and we've had an impact some of the biggest companies the world are no longer in climate action one hundred i mean vanguard state street black rock they all got out of it because that it was the left wing designed to go after oil gas and and coal company uh... and and impact our energy uh... uh... resources out there so uh... this is all part of that",Assert / Elaborate,host,0,0,0,0,0
49609,5,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Self-Correction,Substantive,118,well i know that's what you like crayon told me i haven't been there and uh... i wasn't there with them but it was part of the discussion on the floor and there was a lot of frustration going into the vote that this was either come up the way that it was uh... so if there were a lot of problems with us and look uh... i chose to be a republican i hate that our party has been labeled uh... the stupid party but we keep doing stupid things like this that make it stick from time to time it's a lot of unforced errors and this certainly is one of them,Clarification Request (Specific),host,0,1,0,0,1
49621,2,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,210,uh... i could not have uh... not done this max because uh... or congressmen because i uh... uh... my phone just blew up uh... with phone calls and text messages did you see this did you see this and they were featuring you among others in large part because where you are and where we are you're not the only all higher republican to do this obviously but you are you are kind of being counted on by a lot of conservatives to be the conservative voice a reason for example uh... when compared to somebody like dave joe's who is uh... who is hardly anybody's conservative and i'm not trying to sit here and throw stones but uh... dave joe says has been moderate uh... at best a rhino at worse uh... worst and uh... so a lot of people looking to you uh... to uh... to stand up against this kind of thing and to vote against this so people were hitting me with just bob when we talk to miller when we get miller on miller did this can you believe this i said let's do this we'll try to get one as quick as we can so here we are,Agree / Align,host,0,0,0,0,0
49799,19,guest,SPEAKER_02,Quantity,annotated_local_context,maxim_violation_label,3,Correction / Challenge,Substantive,218,No it isn't it's look they used to be more equity between the two conservative and liberal parties because each one uh... the democrats believe more important to the public sector the republicans of the private wealth-creating sector but each one recognize that the other sector was important for the first time in any american history you have a group in charge of one of the major parties today the key party control the republicans and they really they're out of balance they they think the private sector can do everything and they really do not appreciate the importance of government in in much of what we do and they also become very personal and angry about it uh... that they don't get that and it's back back it goes back to new king richland he wasn't constantly in the nineties he said you know what we were probably have to stop treating the democrats as reasonable people with whom we disagree the bad people their evil they were moral that corrupt and and you can document changes back from then then the tea party takes a step further because the democrats responding kind because you can't have unilateral disarmament in a struggle and uh... that's where we are,Clarification Request (Specific),host,0,1,0,0,1
49979,20,host,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,2,more efficiently.,Stonewalling / Non-Response,guest,0,0,0,0,0
50330,29,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Stonewalling / Non-Response,Substantive,99,i don't know and i don't know if they know uh... one uh... it's hard to see the bill that fifty republicans back to i don't think they thought a lot about i think they ran against obama care since obama care was passed and soon the hillary win and hadn't really don a lot of thinking about what to replace it with and i don't think they are all that caught up on uh... health care is it turns out it's complicated uh... president It was first American to realize that.,Clarification Request (Generic),host,0,1,0,0,1
50713,15,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,2,Totally classified.,Clarification Request (Specific),host,0,1,0,0,1
50713,64,host,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Correction / Challenge,Substantive,4,Very John Warner review.,Assert / Elaborate,guest,0,0,0,0,0
50735,15,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Correction / Challenge,Substantive,7,issue. There's a lot of issues.,Assert / Elaborate,host,0,0,0,0,0
50787,99,host,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,5,This has been very hard.,Clarification Request (Specific),guest,0,1,0,0,1
50985,10,host,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Assert / Elaborate,Substantive,8,I think they were a number of people.,Assert / Elaborate,guest,0,0,0,0,0
50985,49,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,11,They're right now report. They're doing that this week.,Clarification Request (Specific),host,0,1,0,0,1
50991,28,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,5,process is going to happen.,Assert / Elaborate,guest,0,0,0,0,0
51047,15,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,9,yeah so very easy instead for congress dot com,Agree / Align,host,0,0,0,0,0
51092,16,host,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,10,last book right before he died in the car accident.,Clarification Request (Specific),guest,0,1,0,0,1
51098,55,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,10,"or Garland should just say, fuck it, here it is.",Assert / Elaborate,host,0,0,0,0,0
51191,60,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Answer,Substantive,1,TV.,Stonewalling / Non-Response,host,0,0,0,0,0
65097,17,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,19,"free rein to move about uh... he's noted the specifics were classified I mean, this is really extraordinary",Assert / Elaborate,host,0,0,0,0,0
66014,13,host,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Answer,Substantive,7,see us handing it back over. All,Clarification Request (Specific),guest,0,1,0,0,1
66064,29,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,3,on my winch,Topic Shift,host,0,0,0,0,0
66064,35,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,2,blue cheese,Assert / Elaborate,host,0,0,0,0,0
70775,65,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,5,keep dreaming. Just keep dreaming.,Assert / Elaborate,host,0,0,0,0,0
70873,157,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,7,I'm not going to that place.,Assert / Elaborate,host,0,0,0,0,0
70883,44,host,SPEAKER_02,Manner,annotated_local_context,maxim_violation_label,1,Topic Shift,Substantive,7,"will pick up the bar tab. Yeah,",Assert / Elaborate,guest,0,0,0,0,0
70884,11,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,6,"County, well, to the early 1800s.",Correction / Challenge,host,0,0,1,0,1
70887,107,host,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,32,my promises and i get a bit uh... but uh... uh... i have found again in the uh... financial area people were pretty uh... pretty well informed and also on lgbt stuff,Topic Shift,guest,0,0,0,0,0
70890,47,guest,SPEAKER_02,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,5,give myself a pay raise.,Correction / Challenge,host,0,0,1,0,1
71022,2,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,4,"West Virginia. 87,000",Assert / Elaborate,host,0,0,0,0,0
71426,3,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,2,warm weather.,Agree / Align,host,0,0,0,0,0
71503,35,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,2,"On Sunday,",Assert / Elaborate,host,0,0,0,0,0
71760,12,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,11,about looking at outdoor refreshment areas? Outdoor refreshment areas or something.,Assert / Elaborate,host,0,0,0,0,0
71777,32,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,2,Ohio dairy.,Correction / Challenge,host,0,0,1,0,1
71783,20,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,21,you know the union many of them that more than i do is a successful radio host in your own words,Assert / Elaborate,host,0,0,0,0,0
71785,3,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,6,I don't feel like one.,Assert / Elaborate,guest,0,0,0,0,0
71786,19,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,4,That's the problem.,Assert / Elaborate,host,0,0,0,0,0
71793,46,host,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,23,"personally we love butter. We love everything fried, so it all makes sense. Do you have a favorite ride at the State Fair?",Assert / Elaborate,guest,0,0,0,0,0
72028,18,host,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,2,high negatives.,Stonewalling / Non-Response,guest,0,0,0,0,0
72030,17,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Correction / Challenge,Substantive,19,he's worth like $100 trillion. The guy says a lot of things that aren't true. I looked,Assert / Elaborate,host,0,0,0,0,0
72414,63,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,7,it's gonna be your next podcast,Stonewalling / Non-Response,host,0,0,0,0,0
72414,64,host,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Stonewalling / Non-Response,Substantive,7,Maybe the title bigger there you go,Assert / Elaborate,guest,0,0,0,0,0
72517,12,host,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,4,about 2.3% under,Assert / Elaborate,guest,0,0,0,0,0
72743,29,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,3,To be determined.,Assert / Elaborate,host,0,0,0,0,0
72745,31,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,50,"I hope well. I mean, I did the motion. uh... you know it was struck here uh... also i i think we need to have a mandatory uh... for life-talk disease and uh... that's in the house bill and i hope it ends up with the senate bill",Clarification Request (Specific),host,0,1,0,0,1
72752,9,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,2,My bill,Assert / Elaborate,host,0,0,0,0,0
72753,7,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Correction / Challenge,Substantive,214,"That could be. But I am not one of those that believes that the target prices and PLC are the reason people plant. I have not been able to find a farmer who tells me that he's changing what he plants based on what we're doing with the PLC. And as long as you keep those target prices in balance across the system, there isn't going to be any incentive to change crops. So I don't buy that. This is something that Pat Robertson and I have gone round and round on. and plinchball and some other people i don't agree with that velocity i think that it can be done uh... in a way that that does not affect planning decisions and uh... you know i think a lot of people are going to move to uh... p l c because he doesn't uh... you know in a time of downward prices it doesn't work and uh... you know people got some good payments the first couple years and then it you know what down i told people i was going to happen but they went ahead anyway because they said well we don't trust you guys are going to take the money around basically",Clarification Request (Specific),host,0,1,0,0,1
72758,18,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,53,"In a big picture question, a few weeks ago, we had Illinois Representative Sherry Bustos on the program, and she's been charged by the Democratic Party to try to help their party reach out to rule voters. In retrospect, What do you feel the GOP needs to accomplish to maintain its leadership?",Assert / Elaborate,guest,0,0,0,0,0
72769,32,host,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Assert / Elaborate,Substantive,6,"oil based, crude oil based products.",Assert / Elaborate,guest,0,0,0,0,0
72793,23,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,81,well one thing i i do see on this and so many other issues as you can't wind up with uh... with more than fifty different standards uh... that that won't work in uh... and what we need to do uh... and uh... you're not going to meet the world food demand increase without uh... without using science uh... so i would expect that both the house and senate in the near future gonna deal with that issue,Topic Shift,host,0,0,0,0,0
72843,5,guest,SPEAKER_02,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,56,i have some concerns i've heard some rumblings uh... whether now that we should with the loss of direct payments whether we should link uh... you know conservation compliance to uh... the existing programs and i i don't think so i i i don't believe that uh... uh... the right thing to do,Clarification Request (Specific),host,0,1,0,0,1
73003,101,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Topic Shift,Substantive,6,executive order. Get into my car.,Correction / Challenge,host,0,0,1,0,1
73003,112,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,35,"Oh, okay, yeah, that's very clever, Mr. President. That's probably the most clever thing you've ever said. Well, speaking of prison, Becky Wright asks if you're excited about going to prison.",Correction / Challenge,guest,0,0,1,0,1
73259,16,host,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,11,she only got 26% of the vote. The spread was 43,Assert / Elaborate,guest,0,0,0,0,0
73271,41,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,4,spending can be cut.,Assert / Elaborate,host,0,0,0,0,0
74373,5,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,4,Don't visit Chicago.,Assert / Elaborate,host,0,0,0,0,0
74504,1,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Assert / Elaborate,Substantive,10,one of the largest restoration projects in American history. project.,Assert / Elaborate,host,0,0,0,0,0
75283,15,host,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Assert / Elaborate,Substantive,5,need. So we need 100%,Assert / Elaborate,guest,0,0,0,0,0
75285,20,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,71,"luckily, we're going to cut that short before you start into that. I don't want to hear that. You know, I want to, before we go back into politics for a second, you also are a religious person. You have a master's in divinity. You're an ordained minister, which I didn't even mention in your remarkable bio. How has that shaped your private and public career?",Assert / Elaborate,guest,0,0,0,0,0
76037,63,guest,SPEAKER_02,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,3,Try me out.,Stonewalling / Non-Response,host,0,0,0,0,0
77879,8,host,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Correction / Challenge,Substantive,7,seemingly a black hole of waste. Seemingly.,Assert / Elaborate,guest,0,0,0,0,0
78052,52,host,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Correction / Challenge,Substantive,4,"That is 40,000.",Assert / Elaborate,guest,0,0,0,0,0
78079,27,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Stonewalling / Non-Response,Substantive,60,"Maybe they don't have time to do it, but you shouldn't rely just on one source for your news. not Fox News, go to CNN. Don't just rely on the Des Moines Register, go to another newspaper, try to study the issues as much as you can. Don't believe everything you read on the internet. That",Agree / Align,host,0,0,0,0,0
78190,5,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,88,they have a lot of the cco's church in heck just uh... uh... that cco's folks themselves that would fill fill that up just this uh... you know make they come out the boat there so i'm a little disappointed to hear that i you know what else are always tough because it's not a normal election and people aren't used to you know going to two primaries twice if you want uh... so that that makes a little bit of a challenge,,,0,0,0,0,0
78338,1,host,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,170,no no it's a it's a you know american government supposed to be transparent sometimes you have squabbles it's not uh... i think one of my colleagues of this on the health court not always not always uh... you know clean and tidy sometimes a little messy but that's that's democracy that's debate that that's transparency so uh... look one vote fifteen votes uh... he's the capital card is still speaker the house though uh... we're at time to get work now that's what we're doing we're getting the committee uh... five hundred it's time to uh... you know pass legislation to fix the problems of death threats have uh... have enacted here and done in the in the last uh... two years and then uh... the investigation that need to be done that are you know part of our constitutional duty to do oversight so we're gonna get we're gonna get after all that,Clarification Request (Specific),guest,0,1,0,0,1
79421,26,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,6,do hope that Blue Cross covers,Assert / Elaborate,host,0,0,0,0,0
79424,37,host,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Self-Correction,Substantive,5,"1950s of quote unquote, yeah.",Assert / Elaborate,guest,0,0,0,0,0
80072,9,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Assert / Elaborate,Substantive,5,"is continuing to grow them,",Assert / Elaborate,host,0,0,0,0,0
80247,45,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,6,I prefer my camp. at Colestrampon.,Topic Shift,host,0,0,0,0,0
80257,82,host,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,1,Preparation.,Assert / Elaborate,guest,0,0,0,0,0
80564,89,host,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,5,the very next month August,Self-Correction,guest,0,0,0,0,0
80564,108,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Self-Correction,Substantive,6,I don't self be true.,Assert / Elaborate,host,0,0,0,0,0
80566,14,guest,SPEAKER_02,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,3,I attended Boise.,Clarification Request (Generic),host,0,1,0,0,1
81208,9,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Stonewalling / Non-Response,Substantive,50,i'm not sure that uh... that's a good question i don't know if anyone has been invited so uh... maybe uh... maybe uh... some of the representatives in that region will be invited but i haven't heard that so uh... i'm not really sure uh...,Assert / Elaborate,host,0,0,0,0,0
81274,43,host,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,11,"guests or right. Yeah, podcasting. Yes. S is for solving. Okay.",Clarification Request (Generic),guest,0,1,0,0,1
81296,49,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,13,"I'm going to keep those conversations private, but I always enjoy talking",Assert / Elaborate,host,0,0,0,0,0
81474,11,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,115,"that. Let's talk about the rights of other Ohioans. People want to smoke it in their house. That's fine. If they want to go into a shop, that's what people do. That's fine. Let's defend that they're right, but also let's don't infringe on other people's rights. The implementation of it, I think Bill is important. Uh, but we, we, uh, you know, while I voted no on both of those, uh, both issue one and issue two, um, you know, in regard to issue two, I think we have to get implemented and do it correctly and do it in a safe way. Well, one",Assert / Elaborate,host,0,0,0,0,0
83459,31,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Stonewalling / Non-Response,Substantive,7,I'll kick your mark really Thomas.,Assert / Elaborate,host,0,0,0,0,0
83475,44,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,5,one of them. No question.,Assert / Elaborate,host,0,0,0,0,0
84126,8,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,4,You're more brave,Assert / Elaborate,host,0,0,0,0,0
84720,32,guest,SPEAKER_01,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,10,make sure that my constituents are uh... a prized situation,Assert / Elaborate,host,0,0,0,0,0
85779,24,host,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,9,Four in the state and 16 in Congress. Okay.,Assert / Elaborate,guest,0,0,0,0,0
86978,3,guest,SPEAKER_02,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,2,stones throw,Assert / Elaborate,host,0,0,0,0,0
86993,31,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,12,elected in related in twenty twenty two to a six-year term,Assert / Elaborate,host,0,0,0,0,0
87019,34,host,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,6,We take them over this crowd.,Assert / Elaborate,guest,0,0,0,0,0
87029,2,host,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,5,taught people how to win.,Assert / Elaborate,guest,0,0,0,0,0
87325,23,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,70,"Yeah, the culture, it's because of the media narrative that drives this. uh... calling these people uh... immigrants if they're they're not immigrants they're there they may be migrants but they're not immigrants an immigrant is someone who's legally uh... allowed into a country to uh... with the intention of joining that community as a citizen and recognizing value That's what immigration is.",Topic Shift,host,0,0,0,0,0
87339,3,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,17,i'm in the uh... frozen tundra which overlays the uh... any swamp uh... of d c,Assert / Elaborate,host,0,0,0,0,0
87352,3,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Assert / Elaborate,Substantive,8,I've been promoted back to sovereign cities.,Clarification Request (Specific),host,0,1,0,0,1
87365,32,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Topic Shift,Substantive,48,"Then we're Northern Michigan's kid raccuss things compellingly about it as he often does. But what's your spot? And people I know go to if you're going up North in Michigan, my family's gone up there for years. Where would you go? I",Answer,guest,0,0,0,0,0
87365,45,guest,SPEAKER_01,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,10,"what a follow suit, even if she had wanted it.",Assert / Elaborate,host,0,0,0,0,0
87365,76,host,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,61,it could be and of course you got a lot of the fact where did uh... where did the one brothers store debbie was from chilter's laptop they stored it in a uh... they started up and uh... uh... behind under a roof tile or ceiling tile i guess i should say down the hall in the rayburn office building,Assert / Elaborate,guest,0,0,0,0,0
88074,15,guest,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,3,It's amazing.,Assert / Elaborate,host,0,0,0,0,0
88578,17,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,124,um... i would hope so to be honest that i i'll uh... try to talk to someone before today i am not sure what they attribute their defeat to but i think they will will say that it was a close defeat uh... hillary clinton won the popular vote and the republicans have got to begin changing people's minds on things because i do believe that hillary clinton won that election in the end of the country as we know it and uh... which means that i would probably elected for years which means we have got to begin to change some people's minds uh... so that we can solidified it it cannot do you think who were four years normal,Clarification Request (Specific),host,0,1,0,0,1
88956,13,guest,SPEAKER_00,Manner,annotated_local_context,maxim_violation_label,1,Assert / Elaborate,Substantive,6,elementary middle school in high school.,Assert / Elaborate,host,0,0,0,0,0
89396,1,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,8,"eight, six, and five months. So I know",Assert / Elaborate,host,0,0,0,0,0
89396,9,guest,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,8,Yes. 3% or 4% in a C-suite.,Assert / Elaborate,host,0,0,0,0,0
90080,13,guest,SPEAKER_02,Manner,annotated_local_context,maxim_violation_label,1,Correction / Challenge,Substantive,7,"is lying about being gay. Yeah, well,",Assert / Elaborate,host,0,0,0,0,0
90130,57,host,SPEAKER_00,Relation,annotated_local_context,maxim_violation_label,2,Stonewalling / Non-Response,Substantive,18,Should we have stood stronger? I don't know. The problem is then you rest shutting it down.,Assert / Elaborate,guest,0,0,0,0,0
90130,59,host,SPEAKER_00,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,4,choices we have right,Assert / Elaborate,guest,0,0,0,0,0
90746,14,host,SPEAKER_02,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,3,increased tax base.,Assert / Elaborate,guest,0,0,0,0,0
90825,15,guest,SPEAKER_01,Quantity,annotated_local_context,maxim_violation_label,3,Answer,Substantive,4,open ended right now.,Stonewalling / Non-Response,host,0,0,0,0,0
