pair_id,category,episode_id,source_path,source_turn_id,source_turn_idx,future_horizon,true_future_turn_id,true_future_turn_idx,true_future_turn_move_label,source_word_count,source_tail_word_count,explicit_count,assumption_count,all_assumption_count,history_turn_count,context_explicit_count,context_assumption_count,original_boundary_verified,source_original_turn_indices_json,true_next_original_turn_indices_json,candidate_count,candidate_pool_complete,candidate_pool_sha256,coverage_drop_reason,requires_legacy_score_rescore,requires_rescore_conditions_json,available_conditions_json
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11:12:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11,11,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12,12,Assert / Elaborate,111,102,9,3,8,3,26,12,True,[19],[20],25,True,5466ffc748a95414a1e34040c948bdc97c572b6c8699141f1c13b550e554f292,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11:14:h3,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:11,11,3,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:14,14,Assert / Elaborate,111,102,9,3,8,3,26,12,True,[19],[22],25,True,6e20111a527fa0b64145be2d6340a2da34acfd7eddd3bdbfddffe258df20467f,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12:13:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:12,12,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13,13,Assert / Elaborate,92,92,6,3,6,3,28,12,True,[20],[21],25,True,31c3891fe76eb52aeeea12bc184be86ea421333de7fb2f6d9fff17bd27b56c1f,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13:14:h1,business,0003_-_The_Game_Chat_with_Ruth_and_Allen,data_cleaned/conversation_moves_labeled/business/0003_-_The_Game_Chat_with_Ruth_and_Allen.json,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:13,13,1,business:0003_-_The_Game_Chat_with_Ruth_and_Allen:14,14,Assert / Elaborate,97,97,7,3,5,3,31,12,True,[21],[22],25,True,5f4234e9661ece8302b3c00721ff253981d01d52ecf3c506d921a648709fe77e,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:0:1:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:0,0,1,business:0004__Bhang___Jamie_Pearson:1,1,Topic Shift,77,77,6,3,5,0,6,3,True,[0],[1],25,True,b85c0623ac9b5aae0ec16bbe67605b06ad48859c108768dfb44a4e398df1783d,,True,"[""raw_history_same_episode_random_turn_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:1:2:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:1,1,1,business:0004__Bhang___Jamie_Pearson:2,2,Assert / Elaborate,67,67,7,3,6,1,13,6,True,[1],[2],25,True,30bcd92107954ba907ebcce2a74c64676f132380e353ffaed6cf6133ebd5d579,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:5:6:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:5,5,1,business:0004__Bhang___Jamie_Pearson:6,6,Assert / Elaborate,87,87,5,3,4,3,29,12,True,[7],[8],25,True,d6c41936c7abb50acfcd1a22d7fe08df8db9c4641b7a1f69b41f0e09a6fee2e5,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0004__Bhang___Jamie_Pearson:7:8:h1,business,0004__Bhang___Jamie_Pearson,data_cleaned/conversation_moves_labeled/business/0004__Bhang___Jamie_Pearson.json,business:0004__Bhang___Jamie_Pearson:7,7,1,business:0004__Bhang___Jamie_Pearson:8,8,Assert / Elaborate,124,105,10,3,10,3,35,12,True,[11],[12],25,True,673468887cf26110f2f7d1c255914689c2150f70130085ff44f08191c988c594,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0007__Talaria_Transportation___Ari_Raptis:5:6:h1,business,0007__Talaria_Transportation___Ari_Raptis,data_cleaned/conversation_moves_labeled/business/0007__Talaria_Transportation___Ari_Raptis.json,business:0007__Talaria_Transportation___Ari_Raptis:5,5,1,business:0007__Talaria_Transportation___Ari_Raptis:6,6,Assert / Elaborate,61,61,5,3,5,3,29,12,True,[17],[18],25,True,9ddc672a5ff5e7faa6ed6a2f466fe2057a82ee7530f62bcfba6074af41f0b89a,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0007__Talaria_Transportation___Ari_Raptis:6:7:h1,business,0007__Talaria_Transportation___Ari_Raptis,data_cleaned/conversation_moves_labeled/business/0007__Talaria_Transportation___Ari_Raptis.json,business:0007__Talaria_Transportation___Ari_Raptis:6,6,1,business:0007__Talaria_Transportation___Ari_Raptis:7,7,Agree / Align,212,104,10,3,10,3,29,12,True,[18],[19],25,True,5166cb79fe78235bf3b2f535eea8f52b92fe2a79d3e5aa5e335215b700a4af52,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0008__Jay_Rush___Moose_Labs___MouthPeace:3:4:h1,business,0008__Jay_Rush___Moose_Labs___MouthPeace,data_cleaned/conversation_moves_labeled/business/0008__Jay_Rush___Moose_Labs___MouthPeace.json,business:0008__Jay_Rush___Moose_Labs___MouthPeace:3,3,1,business:0008__Jay_Rush___Moose_Labs___MouthPeace:4,4,Assert / Elaborate,58,58,4,3,5,3,29,12,True,[21],[22],25,True,e40e3e6e3e7e595700b74b0e3f0e7602f481e0826caeade164a9d9950d3d847d,,True,"[""raw_history_same_episode_random_turn_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0008__Jay_Rush___Moose_Labs___MouthPeace:4:5:h1,business,0008__Jay_Rush___Moose_Labs___MouthPeace,data_cleaned/conversation_moves_labeled/business/0008__Jay_Rush___Moose_Labs___MouthPeace.json,business:0008__Jay_Rush___Moose_Labs___MouthPeace:4,4,1,business:0008__Jay_Rush___Moose_Labs___MouthPeace:5,5,Assert / Elaborate,129,106,10,3,10,3,30,12,True,[22],[23],25,True,d4da4c21d365a5c0edccee9a3a56565ae9cab0e342d723b0b669583979ee12b2,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001._Magic_Dust:0:1:h1,business,001._Magic_Dust,data_cleaned/conversation_moves_labeled/business/001._Magic_Dust.json,business:001._Magic_Dust:0,0,1,business:001._Magic_Dust:1,1,Assert / Elaborate,50,50,10,3,10,0,10,3,True,[0],[1],25,True,965738c5f9af68a1bcea6e20da9a94990be98bc46823411e2bb2d128b275a53f,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0012__Joe_Caltabiano:2:3:h1,business,0012__Joe_Caltabiano,data_cleaned/conversation_moves_labeled/business/0012__Joe_Caltabiano.json,business:0012__Joe_Caltabiano:2,2,1,business:0012__Joe_Caltabiano:3,3,Agree / Align,462,102,10,3,10,2,27,9,True,[4],[5],25,True,30d10cc4fa1e4d3acd8dc4aecd89f8c68ba30c1be6884bf6d11dc4bffdc0a9b9,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0012__Joe_Caltabiano:2:5:h3,business,0012__Joe_Caltabiano,data_cleaned/conversation_moves_labeled/business/0012__Joe_Caltabiano.json,business:0012__Joe_Caltabiano:2,2,3,business:0012__Joe_Caltabiano:5,5,Clarification Request (Specific),462,102,10,3,10,2,27,9,True,[4],[7],25,True,13009d6ff2a6a1ea2728335769e415859d1f74f6b6b46eac0439676f553045b7,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0012__Joe_Caltabiano:3:4:h1,business,0012__Joe_Caltabiano,data_cleaned/conversation_moves_labeled/business/0012__Joe_Caltabiano.json,business:0012__Joe_Caltabiano:3,3,1,business:0012__Joe_Caltabiano:4,4,Assert / Elaborate,74,74,7,3,6,3,34,12,True,[5],[6],25,True,c04403c8845bd5867a8f7139fde5db9325ede65fce2e6ff4db346b6da96975d9,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0012__Joe_Caltabiano:4:5:h1,business,0012__Joe_Caltabiano,data_cleaned/conversation_moves_labeled/business/0012__Joe_Caltabiano.json,business:0012__Joe_Caltabiano:4,4,1,business:0012__Joe_Caltabiano:5,5,Clarification Request (Specific),240,104,10,3,10,3,37,12,True,[6],[7],25,True,e295a2ff7a5ac710408ed2fb7a78fa5528ec5054021bc5a31299218b249e5e09,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:0012__Joe_Caltabiano:6:7:h1,business,0012__Joe_Caltabiano,data_cleaned/conversation_moves_labeled/business/0012__Joe_Caltabiano.json,business:0012__Joe_Caltabiano:6,6,1,business:0012__Joe_Caltabiano:7,7,Assert / Elaborate,238,101,10,3,10,3,35,12,True,[10],[11],25,True,f52296a81f22eadbae7fc21392ca8fd875a430b22ede38f03dca940fcee69951,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001_MLR_040_The_Perfectionists_Productivity_Hack:0:1:h1,business,001_MLR_040_The_Perfectionists_Productivity_Hack,data_cleaned/conversation_moves_labeled/business/001_MLR_040_The_Perfectionists_Productivity_Hack.json,business:001_MLR_040_The_Perfectionists_Productivity_Hack:0,0,1,business:001_MLR_040_The_Perfectionists_Productivity_Hack:1,1,Assert / Elaborate,120,103,10,3,10,0,10,3,True,[0],[1],25,True,c942e48be06fe4812ca4cdebd0929a50d3e5b42a85e92f6c0b1606016bf65f4a,,False,[],"[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001_MLR_040_The_Perfectionists_Productivity_Hack:1:2:h1,business,001_MLR_040_The_Perfectionists_Productivity_Hack,data_cleaned/conversation_moves_labeled/business/001_MLR_040_The_Perfectionists_Productivity_Hack.json,business:001_MLR_040_The_Perfectionists_Productivity_Hack:1,1,1,business:001_MLR_040_The_Perfectionists_Productivity_Hack:2,2,Assert / Elaborate,1939,107,10,3,10,1,20,6,True,[1],[2],25,True,b54b1ee5e2fe3f0fda5888fc91b9bf5bf0ed1dbef9fdc886ea5de6254ff86344,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001__Larry_Levine_-_Selling_From_The_Heart:0:1:h1,business,001__Larry_Levine_-_Selling_From_The_Heart,data_cleaned/conversation_moves_labeled/business/001__Larry_Levine_-_Selling_From_The_Heart.json,business:001__Larry_Levine_-_Selling_From_The_Heart:0,0,1,business:001__Larry_Levine_-_Selling_From_The_Heart:1,1,Assert / Elaborate,338,102,10,3,10,0,10,3,True,[0],[1],25,True,2765ac8295acc317532f38dd9e33924e42039ba26e542d09894e95cc0ef39607,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001__Larry_Levine_-_Selling_From_The_Heart:0:3:h3,business,001__Larry_Levine_-_Selling_From_The_Heart,data_cleaned/conversation_moves_labeled/business/001__Larry_Levine_-_Selling_From_The_Heart.json,business:001__Larry_Levine_-_Selling_From_The_Heart:0,0,3,business:001__Larry_Levine_-_Selling_From_The_Heart:3,3,Assert / Elaborate,338,102,10,3,10,0,10,3,True,[0],[3],25,True,ad1e2b533a04d96777246a66fe3a88c2577f107f4c413d06e2d111a0fa4dce45,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001__Larry_Levine_-_Selling_From_The_Heart:0:5:h5,business,001__Larry_Levine_-_Selling_From_The_Heart,data_cleaned/conversation_moves_labeled/business/001__Larry_Levine_-_Selling_From_The_Heart.json,business:001__Larry_Levine_-_Selling_From_The_Heart:0,0,5,business:001__Larry_Levine_-_Selling_From_The_Heart:5,5,Assert / Elaborate,338,102,10,3,10,0,10,3,True,[0],[5],25,True,e287b1f42a51109ca653372e73d71cbf37bd43adc54781d2e02517613009e035,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001__Larry_Levine_-_Selling_From_The_Heart:1:2:h1,business,001__Larry_Levine_-_Selling_From_The_Heart,data_cleaned/conversation_moves_labeled/business/001__Larry_Levine_-_Selling_From_The_Heart.json,business:001__Larry_Levine_-_Selling_From_The_Heart:1,1,1,business:001__Larry_Levine_-_Selling_From_The_Heart:2,2,Clarification Request (Specific),118,106,7,3,5,1,17,6,True,[1],[2],25,True,eb271dbb7ebed04b1c96861308e6784375ce8e085544e148ca5ea50dff3d7be6,,True,"[""raw_history_same_episode_random_turn_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
business:001__Larry_Levine_-_Selling_From_The_Heart:1:4:h3,business,001__Larry_Levine_-_Selling_From_The_Heart,data_cleaned/conversation_moves_labeled/business/001__Larry_Levine_-_Selling_From_The_Heart.json,business:001__Larry_Levine_-_Selling_From_The_Heart:1,1,3,business:001__Larry_Levine_-_Selling_From_The_Heart:4,4,Clarification Request (Specific),118,106,7,3,5,1,17,6,True,[1],[4],25,True,4c5dea0769bfe7af9598497132fe006b160062f8ff4884ece02450cbcbb03273,,True,"[""raw_history_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_explicit_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_true_assumptions_b256""]","[""raw_history_b256"", ""raw_history_true_assumptions_b256"", ""raw_history_different_episode_assumptions_b256"", ""raw_history_same_episode_random_turn_assumptions_b256"", ""raw_history_explicit_b256""]"
