prompt,episode_key,src_point_id,src_turn_num,src_speaker_id,dst_point_id,dst_turn_num,dst_speaker_id,similarity
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T17_A2,17.0,SPEAKER_00,T19_A5,19.0,SPEAKER_01,0.625819206237793
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T18_A6,18.0,SPEAKER_01,T21_A4,21.0,SPEAKER_00,0.6519075632095337
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T23_A4,23.0,SPEAKER_00,T24_A0,24.0,SPEAKER_01,0.6704500317573547
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T23_A2,23.0,SPEAKER_00,T24_A1,24.0,SPEAKER_01,0.6975898146629333
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T24_A4,24.0,SPEAKER_01,T25_A1,25.0,SPEAKER_00,0.6130918264389038
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T24_A2,24.0,SPEAKER_01,T25_A3,25.0,SPEAKER_00,0.653063178062439
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T25_A3,25.0,SPEAKER_00,T26_A0,26.0,SPEAKER_01,0.622787356376648
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T26_A5,26.0,SPEAKER_01,T27_A0,27.0,SPEAKER_00,0.6313014030456543
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T25_A5,25.0,SPEAKER_00,T28_A1,28.0,SPEAKER_01,0.6332179307937622
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T25_A3,25.0,SPEAKER_00,T28_A2,28.0,SPEAKER_01,0.651648759841919
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T25_A3,25.0,SPEAKER_00,T29_A4,29.0,SPEAKER_01,0.647068202495575
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T31_A1,31.0,SPEAKER_00,T32_A2,32.0,SPEAKER_01,0.7269688844680786
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T33_A5,33.0,SPEAKER_01,T34_A3,34.0,SPEAKER_00,0.6212239265441895
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T34_A1,34.0,SPEAKER_00,T35_A1,35.0,SPEAKER_01,0.6111370921134949
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T33_A0,33.0,SPEAKER_01,T37_A3,37.0,SPEAKER_00,0.6508388519287109
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T35_A1,35.0,SPEAKER_01,T39_A0,39.0,SPEAKER_00,0.675266444683075
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T41_A3,41.0,SPEAKER_00,T42_A0,42.0,SPEAKER_01,0.6138041019439697
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T41_A1,41.0,SPEAKER_00,T42_A4,42.0,SPEAKER_01,0.7137256860733032
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T41_A1,41.0,SPEAKER_00,T42_A5,42.0,SPEAKER_01,0.6429647207260132
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T42_A0,42.0,SPEAKER_01,T43_A0,43.0,SPEAKER_00,0.6502481698989868
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T42_A5,42.0,SPEAKER_01,T43_A3,43.0,SPEAKER_00,0.6396371722221375
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T42_A4,42.0,SPEAKER_01,T43_A4,43.0,SPEAKER_00,0.6871156692504883
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T43_A2,43.0,SPEAKER_00,T44_A0,44.0,SPEAKER_01,0.6348987817764282
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T43_A4,43.0,SPEAKER_00,T44_A7,44.0,SPEAKER_01,0.8265558481216431
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T40_A0,40.0,SPEAKER_01,T45_A1,45.0,SPEAKER_00,0.6113966107368469
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T44_A7,44.0,SPEAKER_01,T45_A3,45.0,SPEAKER_00,0.6433757543563843
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T37_A3,37.0,SPEAKER_00,T46_A0,46.0,SPEAKER_01,0.616421103477478
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T44_A2,44.0,SPEAKER_01,T47_A1,47.0,SPEAKER_00,0.7213864326477051
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T44_A2,44.0,SPEAKER_01,T47_A2,47.0,SPEAKER_00,0.6589387059211731
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T43_A1,43.0,SPEAKER_00,T48_A1,48.0,SPEAKER_01,0.6418489813804626
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T49_A0,49.0,SPEAKER_00,T50_A5,50.0,SPEAKER_01,0.6450884342193604
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T49_A3,49.0,SPEAKER_00,T50_A6,50.0,SPEAKER_01,0.7031028270721436
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T57_A0,57.0,SPEAKER_00,T58_A0,58.0,SPEAKER_01,0.6743921041488647
prompt1,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T57_A2,57.0,SPEAKER_00,T60_A1,60.0,SPEAKER_01,0.6203992366790771
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A2,1.0,SPEAKER_02,T2_A0,2.0,SPEAKER_01,0.6485468149185181
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A2,1.0,SPEAKER_02,T3_A0,3.0,SPEAKER_01,0.6086925268173218
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T2_A0,2.0,SPEAKER_01,T4_A0,4.0,SPEAKER_02,0.6445015668869019
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T2_A4,2.0,SPEAKER_01,T4_A2,4.0,SPEAKER_02,0.6069468855857849
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T4_A0,4.0,SPEAKER_02,T5_A2,5.0,SPEAKER_01,0.6560785174369812
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T3_A1,3.0,SPEAKER_01,T9_A2,9.0,SPEAKER_02,0.750400185585022
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A0,1.0,SPEAKER_02,T10_A1,10.0,SPEAKER_01,0.714461088180542
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A2,1.0,SPEAKER_02,T10_A2,10.0,SPEAKER_01,0.604337751865387
prompt1,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T18_A4,18.0,SPEAKER_02,T20_A3,20.0,SPEAKER_01,0.7276360988616943
prompt1,How_AI_and_supercomputing_are_going_green_6151588f57,T3_A1,3.0,SPEAKER_01,T5_A1,5.0,SPEAKER_00,0.7002074718475342
prompt1,How_AI_and_supercomputing_are_going_green_6151588f57,T5_A3,5.0,SPEAKER_00,T6_A8,6.0,SPEAKER_01,0.6226035356521606
prompt1,How_I_Taught_My_7_Year_About_Machine_Learning_an_a100b13a0d,T1_A0,1.0,SPEAKER_01,T4_A0,4.0,SPEAKER_00,0.7502855658531189
prompt1,How_I_Taught_My_7_Year_About_Machine_Learning_an_a100b13a0d,T1_A0,1.0,SPEAKER_01,T5_A0,5.0,SPEAKER_00,0.7099936604499817
prompt1,How_I_Taught_My_7_Year_About_Machine_Learning_an_a100b13a0d,T1_A0,1.0,SPEAKER_01,T5_A4,5.0,SPEAKER_00,0.6273586750030518
prompt1,How_I_Taught_My_7_Year_About_Machine_Learning_an_a100b13a0d,T1_A1,1.0,SPEAKER_01,T5_A9,5.0,SPEAKER_00,0.6632965803146362
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T2_A4,2.0,SPEAKER_01,T3_A0,3.0,SPEAKER_00,0.6199169158935547
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T1_A4,1.0,SPEAKER_01,T3_A2,3.0,SPEAKER_00,0.6095864772796631
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T2_A4,2.0,SPEAKER_01,T6_A0,6.0,SPEAKER_00,0.6659181714057922
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T2_A3,2.0,SPEAKER_01,T12_A5,12.0,SPEAKER_00,0.653894305229187
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T11_A3,11.0,SPEAKER_00,T21_A0,21.0,SPEAKER_01,0.6507588028907776
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T22_A0,22.0,SPEAKER_01,T32_A1,32.0,SPEAKER_00,0.6184728741645813
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T36_A1,36.0,SPEAKER_01,T38_A5,38.0,SPEAKER_00,0.6726765632629395
prompt1,S1_E15_Mostafa_Elbermawy_on_Long-Lasting_Work_Se_29eea0aed2,T39_A2,39.0,SPEAKER_01,T40_A3,40.0,SPEAKER_00,0.6013357043266296
prompt1,The_potential_of_AI_in_healthcare_014edaaac0,T10_A1,10.0,SPEAKER_01,T14_A0,14.0,SPEAKER_00,0.6758112907409668
prompt1,The_potential_of_AI_in_healthcare_014edaaac0,T10_A1,10.0,SPEAKER_01,T14_A3,14.0,SPEAKER_00,0.6302467584609985
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T5_A5,5.0,SPEAKER_01,T6_A0,6.0,SPEAKER_00,0.6524449586868286
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T4_A3,4.0,SPEAKER_00,T7_A2,7.0,SPEAKER_01,0.6378646492958069
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T6_A2,6.0,SPEAKER_00,T7_A6,7.0,SPEAKER_01,0.6093220710754395
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T2_A2,2.0,SPEAKER_00,T10_A5,10.0,SPEAKER_01,0.646878719329834
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T7_A6,7.0,SPEAKER_01,T11_A0,11.0,SPEAKER_00,0.7452412843704224
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T7_A9,7.0,SPEAKER_01,T11_A3,11.0,SPEAKER_00,0.6768498420715332
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T7_A2,7.0,SPEAKER_01,T11_A4,11.0,SPEAKER_00,0.6148003339767456
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T6_A0,6.0,SPEAKER_00,T12_A1,12.0,SPEAKER_01,0.7107138633728027
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T11_A1,11.0,SPEAKER_00,T12_A4,12.0,SPEAKER_01,0.6724410057067871
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T5_A5,5.0,SPEAKER_01,T13_A1,13.0,SPEAKER_00,0.6128817200660706
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T12_A1,12.0,SPEAKER_01,T13_A2,13.0,SPEAKER_00,0.6465455889701843
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T10_A5,10.0,SPEAKER_01,T15_A4,15.0,SPEAKER_00,0.6380420327186584
prompt1,Why_AI_needs_to_develop_ethical_and_legal_standa_737558c249,T15_A0,15.0,SPEAKER_00,T16_A4,16.0,SPEAKER_01,0.6044899821281433
prompt2,AI_Assists_Human_Intelligence__Elon_Musk_Jack_Ma_569e3e722d,T2_A1,2.0,SPEAKER_01,T3_A2,3.0,SPEAKER_00,0.6572417616844177
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T3_A1,3.0,SPEAKER_01,T4_A0,4.0,SPEAKER_00,0.6776731014251709
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T3_A0,3.0,SPEAKER_01,T4_A4,4.0,SPEAKER_00,0.6611953973770142
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T2_A1,2.0,SPEAKER_00,T5_A8,5.0,SPEAKER_01,0.6840677857398987
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T5_A8,5.0,SPEAKER_01,T6_A3,6.0,SPEAKER_00,0.7077369689941406
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T2_A1,2.0,SPEAKER_00,T7_A0,7.0,SPEAKER_01,0.6221856474876404
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T2_A0,2.0,SPEAKER_00,T7_A1,7.0,SPEAKER_01,0.6575813889503479
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T1_A1,1.0,SPEAKER_01,T9_A2,9.0,SPEAKER_00,0.7510141730308533
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T5_A0,5.0,SPEAKER_01,T10_A2,10.0,SPEAKER_00,0.6381397247314453
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T5_A2,5.0,SPEAKER_01,T12_A2,12.0,SPEAKER_00,0.6055454015731812
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T12_A2,12.0,SPEAKER_00,T13_A0,13.0,SPEAKER_01,0.678788959980011
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T10_A4,10.0,SPEAKER_00,T15_A2,15.0,SPEAKER_01,0.6607534885406494
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T14_A0,14.0,SPEAKER_00,T15_A8,15.0,SPEAKER_01,0.6044500470161438
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T15_A2,15.0,SPEAKER_01,T16_A0,16.0,SPEAKER_00,0.6039738655090332
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T11_A1,11.0,SPEAKER_01,T16_A1,16.0,SPEAKER_00,0.6199965476989746
prompt2,Artificial_Intelligence_AI_and_it_is_Application_b2d5d82c82,T9_A0,9.0,SPEAKER_00,T17_A0,17.0,SPEAKER_01,0.641370952129364
prompt2,Augmented_Intelligence_with_AI_in_Manufacturing__846df0f35c,T2_A4,2.0,SPEAKER_01,T3_A0,3.0,SPEAKER_00,0.6352472305297852
prompt2,Augmented_Intelligence_with_AI_in_Manufacturing__846df0f35c,T2_A4,2.0,SPEAKER_01,T9_A1,9.0,SPEAKER_00,0.6035206317901611
prompt2,Augmented_Intelligence_with_AI_in_Manufacturing__846df0f35c,T2_A4,2.0,SPEAKER_01,T10_A6,10.0,SPEAKER_00,0.6455488204956055
prompt2,Cloudpick_AI-Powered_Autonomous_Retail_Store_Sol_10160c6c52,T4_A2,4.0,SPEAKER_03,T5_A3,5.0,SPEAKER_02,0.6262251138687134
prompt2,Cloudpick_AI-Powered_Autonomous_Retail_Store_Sol_10160c6c52,T4_A3,4.0,SPEAKER_03,T5_A6,5.0,SPEAKER_02,0.6496095061302185
prompt2,Cloudpick_AI-Powered_Autonomous_Retail_Store_Sol_10160c6c52,T6_A0,6.0,SPEAKER_03,T13_A1,13.0,SPEAKER_02,0.6623219847679138
prompt2,Cloudpick_AI-Powered_Autonomous_Retail_Store_Sol_10160c6c52,T6_A4,6.0,SPEAKER_03,T14_A0,14.0,SPEAKER_02,0.6348091959953308
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T2_A0,2.0,SPEAKER_00,T11_A8,11.0,SPEAKER_01,0.7176263332366943
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T7_A1,7.0,SPEAKER_01,T17_A1,17.0,SPEAKER_00,0.6414036154747009
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T17_A3,17.0,SPEAKER_00,T19_A1,19.0,SPEAKER_01,0.6142252683639526
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T17_A3,17.0,SPEAKER_00,T19_A2,19.0,SPEAKER_01,0.6865731477737427
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T17_A3,17.0,SPEAKER_00,T19_A8,19.0,SPEAKER_01,0.6707662343978882
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T20_A1,20.0,SPEAKER_01,T21_A1,21.0,SPEAKER_00,0.8267272710800171
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T26_A0,26.0,SPEAKER_01,T27_A0,27.0,SPEAKER_00,0.6596619486808777
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T26_A1,26.0,SPEAKER_01,T27_A3,27.0,SPEAKER_00,0.6242249011993408
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T27_A0,27.0,SPEAKER_00,T28_A0,28.0,SPEAKER_01,0.6445162296295166
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T25_A4,25.0,SPEAKER_00,T28_A4,28.0,SPEAKER_01,0.6239441633224487
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T23_A3,23.0,SPEAKER_00,T29_A1,29.0,SPEAKER_01,0.6327924728393555
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T25_A4,25.0,SPEAKER_00,T30_A1,30.0,SPEAKER_01,0.6027401089668274
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T31_A4,31.0,SPEAKER_00,T32_A2,32.0,SPEAKER_01,0.7059739828109741
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T33_A4,33.0,SPEAKER_01,T34_A0,34.0,SPEAKER_00,0.6002695560455322
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T33_A4,33.0,SPEAKER_01,T34_A2,34.0,SPEAKER_00,0.6105437278747559
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T33_A5,33.0,SPEAKER_01,T34_A3,34.0,SPEAKER_00,0.6168302297592163
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T41_A0,41.0,SPEAKER_00,T42_A1,42.0,SPEAKER_01,0.7245774865150452
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T41_A3,41.0,SPEAKER_00,T42_A5,42.0,SPEAKER_01,0.6663106083869934
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T42_A1,42.0,SPEAKER_01,T43_A2,43.0,SPEAKER_00,0.7301267981529236
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T42_A1,42.0,SPEAKER_01,T43_A4,43.0,SPEAKER_00,0.6915808916091919
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T34_A2,34.0,SPEAKER_00,T44_A3,44.0,SPEAKER_01,0.633947491645813
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T37_A2,37.0,SPEAKER_00,T46_A0,46.0,SPEAKER_01,0.6465131044387817
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T42_A1,42.0,SPEAKER_01,T47_A2,47.0,SPEAKER_00,0.739804208278656
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T49_A1,49.0,SPEAKER_00,T50_A1,50.0,SPEAKER_01,0.664049506187439
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T49_A3,49.0,SPEAKER_00,T50_A2,50.0,SPEAKER_01,0.6870025992393494
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T49_A2,49.0,SPEAKER_00,T50_A6,50.0,SPEAKER_01,0.6778814196586609
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T51_A1,51.0,SPEAKER_00,T52_A1,52.0,SPEAKER_01,0.6075431108474731
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T51_A3,51.0,SPEAKER_00,T52_A3,52.0,SPEAKER_01,0.6280328035354614
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T52_A7,52.0,SPEAKER_01,T53_A3,53.0,SPEAKER_00,0.6547777056694031
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T51_A0,51.0,SPEAKER_00,T58_A2,58.0,SPEAKER_01,0.7238268852233887
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T57_A2,57.0,SPEAKER_00,T61_A9,61.0,SPEAKER_01,0.7005948424339294
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T65_A3,65.0,SPEAKER_01,T66_A0,66.0,SPEAKER_00,0.6800426840782166
prompt2,General_Robert_S._Spalding_III_-_China_s_Six_Fro_6c204870c8,T65_A3,65.0,SPEAKER_01,T68_A0,68.0,SPEAKER_00,0.6658614277839661
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A0,1.0,SPEAKER_02,T2_A0,2.0,SPEAKER_01,0.6614610552787781
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A4,1.0,SPEAKER_02,T2_A3,2.0,SPEAKER_01,0.6201712489128113
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T2_A0,2.0,SPEAKER_01,T4_A3,4.0,SPEAKER_02,0.6220352649688721
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T6_A0,6.0,SPEAKER_02,T7_A4,7.0,SPEAKER_01,0.6429917216300964
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T3_A0,3.0,SPEAKER_01,T9_A1,9.0,SPEAKER_02,0.6031717658042908
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T3_A1,3.0,SPEAKER_01,T9_A2,9.0,SPEAKER_02,0.7314860820770264
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A4,1.0,SPEAKER_02,T10_A1,10.0,SPEAKER_01,0.7795529365539551
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T9_A1,9.0,SPEAKER_02,T10_A2,10.0,SPEAKER_01,0.6635411381721497
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A4,1.0,SPEAKER_02,T11_A0,11.0,SPEAKER_01,0.6104653477668762
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T1_A1,1.0,SPEAKER_02,T11_A1,11.0,SPEAKER_01,0.6566320657730103
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T9_A1,9.0,SPEAKER_02,T11_A3,11.0,SPEAKER_01,0.6637677550315857
prompt2,Hard_Talk_HR_-_How_AI_Can_Help_Build_a_High-Perf_10644229d9,T9_A1,9.0,SPEAKER_02,T13_A3,13.0,SPEAKER_01,0.6201111078262329
