analysis_subset,future_horizon,target_condition,baseline_condition,target_base_condition,baseline_base_condition,representation_budget,metric,paired_sample_size,mean_improvement,ci95_low,ci95_high,ci_unstable,cluster_count,wins,ties,losses,diagnostic_question,contrast
complete_case,3,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,76,-0.009320175438596496,,,True,12,37,6,33,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
dense_explicit,3,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,80,0.0023437499999999986,,,True,12,40,6,34,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
full,3,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,88,-0.003787878787878792,,,True,12,43,6,39,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
sparse_explicit,5,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,4,0.057291666666666616,,,True,4,3,0,1,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
assumption_eligible,5,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,46,-0.0027173913043478408,,,True,8,18,8,20,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
complete_case,5,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,42,-0.004960317460317477,,,True,8,17,6,19,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
dense_explicit,5,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,41,-0.011686991869918709,,,True,7,14,8,19,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
full,5,structured_explicit_assumption_history_b128,structured_explicit_history_b128,structured_explicit_assumption_history,structured_explicit_history,128,accuracy,46,-0.0027173913043478408,,,True,8,18,8,20,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b128 - structured_explicit_history_b128
sparse_explicit,1,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,24,0.07812500000000001,,,True,9,19,3,2,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
assumption_eligible,1,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,214,0.05295950155763239,0.042912912912912916,0.0663049811621729,False,24,154,24,36,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
complete_case,1,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,167,0.053642714570858285,,,True,19,117,21,29,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
dense_explicit,1,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,189,0.04971340388007054,0.04081415654497093,0.061765003744553376,False,24,134,21,34,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
full,1,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,214,0.05295950155763239,0.04339291517712058,0.06628854566794708,False,24,154,24,36,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
sparse_explicit,3,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,7,0.05654761904761905,,,True,5,5,0,2,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
assumption_eligible,3,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,88,0.047348484848484855,,,True,12,58,7,23,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
complete_case,3,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,76,0.043037280701754395,,,True,12,50,6,20,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
dense_explicit,3,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,80,0.0453125,,,True,12,52,7,21,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
full,3,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,88,0.047348484848484855,,,True,12,58,7,23,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
sparse_explicit,5,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,4,0.09895833333333331,,,True,4,4,0,0,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
assumption_eligible,5,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,46,0.03759057971014492,,,True,8,31,3,12,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
complete_case,5,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,42,0.03472222222222222,,,True,8,28,3,11,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
dense_explicit,5,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,41,0.03455284552845528,,,True,7,27,3,11,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
full,5,structured_explicit_assumption_history_b128,structured_explicit_shuffled_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,128,accuracy,46,0.03759057971014492,,,True,8,31,3,12,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b128 - structured_explicit_shuffled_assumption_history_b128
sparse_explicit,1,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,19,0.05263157894736841,,,True,7,14,3,2,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
assumption_eligible,1,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,167,0.0217065868263473,,,True,19,93,29,45,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
complete_case,1,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,167,0.0217065868263473,,,True,19,93,29,45,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
dense_explicit,1,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,147,0.017857142857142853,,,True,19,79,25,43,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
full,1,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,167,0.0217065868263473,,,True,19,93,29,45,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
sparse_explicit,3,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,6,-0.125,,,True,5,2,0,4,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
assumption_eligible,3,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,76,-0.024945175438596492,,,True,12,31,6,39,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
complete_case,3,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,76,-0.024945175438596492,,,True,12,31,6,39,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
dense_explicit,3,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,69,-0.016304347826086956,,,True,12,29,6,34,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
full,3,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,76,-0.024945175438596492,,,True,12,31,6,39,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
sparse_explicit,5,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,4,0.031249999999999972,,,True,4,3,0,1,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
assumption_eligible,5,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,42,-0.024801587301587304,,,True,8,16,6,20,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
complete_case,5,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,42,-0.024801587301587304,,,True,8,16,6,20,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
dense_explicit,5,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,37,-0.0304054054054054,,,True,7,13,6,18,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
full,5,structured_explicit_assumption_history_b128,structured_explicit_wrong_episode_assumption_history_b128,structured_explicit_assumption_history,structured_explicit_wrong_episode_assumption_history,128,accuracy,42,-0.024801587301587304,,,True,8,16,6,20,true_history_assumptions_vs_wrong_episode_control,structured_explicit_assumption_history_b128 - structured_explicit_wrong_episode_assumption_history_b128
sparse_explicit,1,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,24,-0.003472222222222219,,,True,9,7,6,11,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
assumption_eligible,1,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,214,-0.016744548286604353,-0.034583959471766845,0.00026901041131897603,False,24,66,42,106,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
complete_case,1,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,167,-0.015469061876247496,,,True,19,57,29,81,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
dense_explicit,1,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,189,-0.017967372134038793,-0.03724009283035787,0.00013824588477366362,False,24,59,36,94,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
full,1,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,214,-0.016744548286604353,-0.036421658962185556,-0.0005497226803527048,False,24,66,42,106,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
sparse_explicit,3,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,7,-0.03571428571428572,,,True,5,3,0,4,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
assumption_eligible,3,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,88,-0.008285984848484852,,,True,12,37,5,46,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
complete_case,3,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,76,-0.01260964912280702,,,True,12,32,3,41,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
dense_explicit,3,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,80,-0.006250000000000003,,,True,12,33,5,42,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
full,3,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,88,-0.008285984848484852,,,True,12,37,5,46,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
sparse_explicit,5,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,4,-0.06770833333333337,,,True,4,1,0,3,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
assumption_eligible,5,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,46,-0.012228260869565221,,,True,8,20,4,22,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
complete_case,5,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,42,-0.016369047619047623,,,True,8,17,4,21,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
dense_explicit,5,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,41,-0.003048780487804882,,,True,7,19,4,18,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
full,5,structured_explicit_assumption_history_b256,raw_history_b256,structured_explicit_assumption_history,raw_history,256,accuracy,46,-0.012228260869565221,,,True,8,20,4,22,structured_explicit_assumption_state_vs_raw_history,structured_explicit_assumption_history_b256 - raw_history_b256
sparse_explicit,1,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,24,0.02517361111111111,,,True,9,13,6,5,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
assumption_eligible,1,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,214,0.013045171339563861,0.006391387836700333,0.020373742344706906,False,24,99,48,67,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
complete_case,1,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,167,0.011976047904191617,,,True,19,76,33,58,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
dense_explicit,1,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,189,0.011463844797178128,0.004003472222222222,0.02242339065255731,False,24,85,42,62,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
full,1,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,214,0.013045171339563861,0.007105785262656443,0.02057223726310608,False,24,99,48,67,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
sparse_explicit,3,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,7,-0.04464285714285714,,,True,5,1,2,4,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
assumption_eligible,3,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,88,-0.004498106060606065,,,True,12,36,14,38,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
complete_case,3,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,76,-0.006578947368421054,,,True,12,31,12,33,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
dense_explicit,3,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,80,-0.0013020833333333378,,,True,12,34,12,34,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
full,3,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,88,-0.004498106060606065,,,True,12,36,14,38,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
sparse_explicit,5,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,4,0.015625,,,True,4,1,1,2,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
assumption_eligible,5,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,46,-0.018568840579710155,,,True,8,16,6,24,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
complete_case,5,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,42,-0.02281746031746033,,,True,8,14,5,23,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
dense_explicit,5,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,41,-0.02388211382113822,,,True,7,14,5,22,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
full,5,structured_explicit_assumption_history_b256,structured_explicit_history_b256,structured_explicit_assumption_history,structured_explicit_history,256,accuracy,46,-0.018568840579710155,,,True,8,16,6,24,incremental_assumption_value_in_structured_history,structured_explicit_assumption_history_b256 - structured_explicit_history_b256
sparse_explicit,1,structured_explicit_assumption_history_b256,structured_explicit_shuffled_assumption_history_b256,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,256,accuracy,24,0.06770833333333333,,,True,9,17,3,4,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b256 - structured_explicit_shuffled_assumption_history_b256
assumption_eligible,1,structured_explicit_assumption_history_b256,structured_explicit_shuffled_assumption_history_b256,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,256,accuracy,214,0.0418613707165109,0.0303845988292011,0.05474468781526318,False,24,129,47,38,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b256 - structured_explicit_shuffled_assumption_history_b256
complete_case,1,structured_explicit_assumption_history_b256,structured_explicit_shuffled_assumption_history_b256,structured_explicit_assumption_history,structured_explicit_shuffled_assumption_history,256,accuracy,167,0.042040918163672655,,,True,19,99,37,31,true_history_assumptions_vs_shuffled_control,structured_explicit_assumption_history_b256 - structured_explicit_shuffled_assumption_history_b256
