category,episode_file,turn_list_index,turn_idx,label,turn_type_label,conversation_move_label,prev_turn_text,current_turn_text,auditor_label,is_correct,notes
religion,001_How_Can_I_Help_My_Children_Gain_their_own_Testimony.json,4,4,Relation,Substantive,Assert / Elaborate,"- You know, Lindsey, you have beautifully articulated what I think many parents feel. As I've talked to mothers, a lot of them have that same feeling. I'm much prepared, are they ready? Have I done enough? I remember feeling that way when you were little, when",". - I was just gonna say that, you know, whenever I went to school, like it was, I realized how much more effort I now needed to put into teaching her things, right? Like she was, yeah, it wasn't just teaching her to get dressed and her ABCs, but like I needed",,,
news,01__The_Public_Pillory_in_crisis_management.json,9,9,Relation,Substantive,Assert / Elaborate,"can see, if you can see the bullet points, you can post questions and answers as good as I can, as probably as I can. So","let's start off with, sort of the Harvey Weinstein and the case around him. He was accused by a multitude of women of sexual abuse, sexual assault and using his position of power to get influence and to procure sexual favors. What is the angle there? What is t",,,
political,42227.json,9,9,Relation,Substantive,Assert / Elaborate,"I love it. To what would you attribute your drive, your persistence, as you mentioned? You had some setbacks there on successful runs early on. Is there a philosophy you have? Are there lessons taught from your folks? What was it that pushed you to keep going ","Well, certainly the love of history was a part of it back then and deciding to go to law school after going to Rutgers. And I got into GW. I really followed my brother along in his path because he went to Rutgers too. Then he went to Georgetown, but didn't get",,,
news,Ep._3_-_Learning_Lena.json,44,44,Relation,Substantive,Clarification Request (Specific),"Yeah. And I think even being around, I think the Muslim culture and in like such an immersive way. Yeah . It was kind of nice too because I feel like, I mean, I have Muslim friends back home, but for some reason I was like, I feel like people have misconceptio",". Okay. So you exist in Egypt, your next move is what is where? Hop",,,
sports,Best-selling_author_Ryan_Holiday_shares_his_thoughts_on_stillness__ego__and_defining_success.json,56,56,Relation,Substantive,Topic Shift,"No, I think he descended into sort of a sleep deprived insanity, to be perfectly honest. Yeah,","it's amazing. Well, what's next for you and where can people find you? Just",,,
sports,BASKETBALL_WEEKLY_ROUNDUP_-_THE_LAST_DANCE_2.json,33,33,Relation,Substantive,Assert / Elaborate,31 minutes. He's incredible for Bucks isn't he ?,And you have to consider I personally think as much as I love Chris Middleton he's not AD is he ? No . Yeah and Giannis is carrying the Bucks on his back a little bit apart from Chris Middleton.,,,
business,013_-_How_Hormone_Health_Can_Impact_Your_Business_And_Life_With_Leah_Chischilly.json,32,32,Relation,Substantive,Clarification Request (Specific),"it's kind of tricky because when you're in it, when you're really in the stress, you probably don't actually feel that bad. A lot of times the stress will come with adrenaline, which feels really good. But it's when we spend excessive amounts of times. And so ","Yeah, definitely. If you could tell somebody one thing about looking out for hormone health or imbalance, what would it be in terms of just something to be aware of that it might be something to get more information",,,
commentary,5_High_Off_Life_-_Future_Review_2.json,83,83,Relation,Substantive,Stonewalling / Non-Response,not We don't care .,"Yeah, get sick. We don't care All right, did you listen?",,,
political,44405.json,50,50,Relation,Substantive,Clarification Request (Specific),"like comparing apples and automobiles. Biden did not intend to take classified documents and keep them and not return them. former vice president Pence, they're not intended to take classified documents and keep them and not return them. Donald Trump absolutel",But this can't look good for the president. Do you think that most voters are paying attention to that distinction of intent?,,,
sports,06.09.2020__The_Bucks_are_headed_to_Disney_World_as_basketball_sets_return.json,8,8,Relation,Substantive,Clarification Request (Specific),", you know, the situation with the NBA, especially relative to Major League Baseball, just shows the difference in how the leagues and the unions for their respective sports work together or, you know, negotiate. Yeah, the NBA has, yeah, there's been a dialogu",". - Yeah, and I want to get your thoughts on whether a December start is good for basketball or a January start, I mean, that's the type of thing that I think right now we'd see as a short-term fix. But we've discussed this and everybody's sort of discussing t",,,
religion,05-03-2020_Sermon.json,3,3,Relation,Substantive,Assert / Elaborate,"that they may have life and have it abundantly. This is the gospel of our Lord. Thanks be to God. [silence] Grace, mercy and peace is yours from our risen Christ . Amen.",We've got some neighbors nearby who have invested a lot of time and money landscaping their yard. And it really shows. They've got beds and plants of all types and colors coursing all across their property. It's really quite lovely. And they really work at kee,,,
business,01_Millennials__work__Holy_Sh_t__w__Wing_Yan_Man.json,19,19,Relation,Substantive,Clarification Request (Specific),I think how I see generations I also give a cross-generation workshop where In companies where we put different generations together and uh relabel people on generations But the reason it's not to label people in generations as an all you all think alike. No T,your trainings your shows into the US Would it be the same For this generation,,,
sports,7__2006_Australian_Open.json,20,20,Relation,Substantive,Clarification Request (Specific),"back to what we were just talking about and as we sit here, the documentary just ended so far, we're talking about it, but in last dance, when Jordan came back from his retirement and he sees these guys like, I think he mentioned Steve Kerr and some other play","'s innate to be human is to be flawed, right? And that's where it comes from. Round of 64, Florian Mayer, career high 18 in the world in 2011, he is known for his unorthodox style of play. I underlined the word unorthodox. It got me curious. What is unorthodox",,,
news,Maria_Toorpakai_from_Pakistan_on_Taliban_and_freedom.json,61,61,Relation,Substantive,Assert / Elaborate,", right? It's just hard to see. It's often it's hard to see what is the good and what is the bad. I mean, I guess this is also the work. It's so easy to say. It's good to do good things, of course. But sometimes it's not that clear what's the good thing. And f",", there are small things. For example, I would clean dishes for my roomers sometimes, you know, or cook for them sometimes. Or if they need help, you know, it's just small things, you know. If you find a lot of joy in small things and small things add up to bi",,,
political,44367.json,26,26,Relation,Substantive,Clarification Request (Specific),"what's happened is there hasn't been anything specific on carpet introduced But there was a framework bill, and let me explain what that is. A framework bill would essentially set up a process that would be run by some federal agency, in this case probably EPA",Are you aware of the other industries that are involved in this or that have been invited to contribute?,,,
business,01._Waiting_For_Permission.json,4,4,Quantity,Substantive,Assert / Elaborate,"Here, the courageous personal leadership podcast . >> Can you say that again, please? >> Courageous personal leadership podcast, season one, episode one.",">> And we are here to dive into what we've been able to capture from the journey. This is a long time comment. >> Yeah, seven years. >> Seven years. Like, let's go back to that drive back from Hilton Head, South Carolina. We had a very, very important place. T",,,
business,003_-_More_Than_An_Email.json,47,47,Quantity,Substantive,Assert / Elaborate,". So we have come up with the top three reasons why you want to have an email or some type of CRM campaign running at any time. So we'll just, we'll start with number three and we'll work our way all the way up to number one. Let's go. So number three is we wa","be systematic. So a huge thing in real estate because we're always busy. We're always talking to folks and, you know, creating new relationships. It's all you need to manage your time effectively. Right. So having a systematic approach to how you are reaching ",,,
business,010___Kayla_Dene__Slusher___How_to_Build_a_Brand_by_Blogging.json,38,38,Quantity,Substantive,Answer,"So are you teaching this to anyone, Kay","la? - Yes, I have a course and I have an eight week coaching program, it's not currently open for enrollment, but I have the course and then I have free information on my blog, of course",,,
sports,Beef_Up_Front_Episode_16...NFC_East_Preview.json,27,27,Quantity,Substantive,Assert / Elaborate,I just feel like they have like so many running backs and they drafted one too they've got like six running backs on that roster and like no one who's really like the guy there you go yeah,like people are pretty damn big season from Kyle's last year then you got bang bang bang bang bang bang bang and then yeah so they're all fans I don't really I don't really see them being all that great and but their defense on their hand I think they they hav,,,
business,001____From_Dyslexia_To_Reading_800_Words_Per_Minute___Cliff_at_Speechify.json,11,11,Quantity,Substantive,Assert / Elaborate,"in Hebrew. And wow, so he was reading it to you in Hebrew, and you're assimilating all this knowledge in real time as he's reading","it. Exactly. And then later too, I just kept listening to the recordings. And then we moved to London, and then we moved to the US, and we moved about time it turned 13. And we found an audio book of Harry Potter in English right before we moved. And my dad as",,,
business,0003_-_The_Game_Chat_with_Ruth_and_Allen.json,1,1,Quantity,Substantive,Assert / Elaborate,"In this recording for the game edition of Design Talk, Ruth and I talk about the game design pipeline, also known as the game production pipeline or the game development pipeline. Ruth, tell us about the game design pipeline. We hear about pipelines and proces","The game design pipeline was designed itself to get a team from the concept phase to the end phase of having a game produced in AAA production. A team would use the agile methodology or sometimes waterfall, but usually agile methodology. So they'd start by, we",,,
political,45453.json,27,27,Quantity,Substantive,Assert / Elaborate,you. I want to shift the conversation a bit to what the United States can do more at home. So you talked a bit about United States innovating at home and we can do on that front. I also want to get your sense of how you assess Chinese disinformation as well as,I think the best way for us to compete with China is to invest in ourselves. I think that's why I'm a big supporter of the U.S. Innovation Competition Act and bipartisan bill. I think we will get that passed in the House or a version of it and hopefully to the,,,
sports,BASKETBALL_WEEKLY_ROUNDUP_-_THE_LAST_DANCE_2.json,31,31,Quantity,Substantive,Assert / Elaborate,so we're both big Giannis fans but let's play devil advocate here and I'll back LeBron's corner and you can back Giannis's corner. So try and convince me why Giannis should be MVP this season .,Well just out of the stats are back in Giannis. He's had what 30 points just off the top of my head 14 rebounds and some of like six assists despite playing less than 31 minutes a game. That's a massive state itself. Do you know what I mean? 30 points in a gam,,,
business,004_-_Denym_Bird.json,5,5,Quantity,Substantive,Assert / Elaborate,"Awesome. So when you still had that job where you're working 40 hours a week, did you make the conscious decision to be like, okay, I'm going to go out and I'm going to look for clients while I still have this job? Or did the hotel kind of come up by chance th","Yeah, that is actually literally how it came. I mean, it was one of my friends was building a website for them and was like, oh, well, they need to help with marketing. Do you want to jump on a call and see if you can help? And I was like, yeah, listen, listen",,,
business,008__Facing_the_Reality_of_Food_Insecurity.json,29,29,Quantity,Substantive,Assert / Elaborate,"'re talking about is that basic understanding of the social determinants of health. If we want to address hunger, we have to address health care, we have to address education, we have to address the neighborhood and the built environment, we have to address th","You know, one of the things that we do and we'll continue to do is to partner with those organizations that are providing those types of services that help people regain or gain their economic independence, so to speak. And so that's one of the things that we ",,,
sports,Ask_An_Epidemiologist_with_Dr._Recinda_Sherman.json,86,86,Quantity,Substantive,Assert / Elaborate,risk if you never encounter anybody then you are at zero risk,yeah well zero risk of that right of just that one three exactly that's that one thing there are other risks right so yeah so again it always comes down to weighing the risks and the benefits and um i i think that that is true and i think sometimes it's good t,,,
commentary,21_-_Preparing_for_Birth_during_COVID_and_Working_Toward_an_Economic_Rebirth_2.json,9,9,Quantity,Substantive,Answer,". Yeah. He's, I think, a couple months younger than Sam. So we have, I think we started working with each other, like pretty soon after Sam",was born,,,
political,45453.json,23,23,Quantity,Substantive,Assert / Elaborate,"Representative Barra, you just mentioned that you are quite focused on Southeast Asia. What is your view of Chinese activities in the South China Sea? China is engaging in a range of gray zone operations in the region, including via its Coast Guard and maritim","You know, we're very concerned with what China is doing in the South China Sea and certainly that concern goes back to 2014, 2015 when you saw them starting to build some of these islands. The challenge today is going to be much more difficult because they've ",,,
commentary,087__Charlie_Marie.json,35,35,Quantity,Substantive,Assert / Elaborate,yeah it is it is interesting about how you know like the you don't want to lose momentum you know what I mean or you don't want to something to be overlooked and I've talked with a lot of people about recently who have been putting out records that either had ,that's the thing that is the thing because that's the thing again we've been poised for quite a while now and I'm sure we're gonna put our you know some more time oh but yeah I mean I'm trying to come up with like new plans just just again like work with what ,,,
sports,Baseball_Returns__20_Shortened_Season_Risers_and_Fallers__Ep._298_2.json,10,10,Quantity,Substantive,Assert / Elaborate,"price. Yeah. And you know, I think if not for the fact that the angels have been talking about using a six man rotation and there's no reason to doubt that they'll use that and stick with it. I mean, I think he's got ace potential, but certainly the lack of re",". So if you extrapolate his 2018 season out to a full year and I get it, there are, you know, smaller sample sizes don't always translate. And when you have somebody who is better than you Darvish in every single Japanese pitcher before him at a similar age an",,,
political,45310.json,17,17,Quantity,Substantive,Assert / Elaborate,"Yeah. All right. So let's get into some of the specifics that you're dealing with. So obviously he's Palestinian. So this accident happens. And then really nobody outside of Ohio. And then a couple of people on Twitter, I guess we're talking about it for the f","big risk, right? As people forget about it, the politicians and the cameras stopped showing up, and so everyone goes home, and that would be really bad for the people of East Palestine. By the way, that's what they're terrified of, right? Is there going to be ",,,
commentary,06_24_2020_Its_The_Juice_2.json,3,3,Quantity,Substantive,Answer,. I'm going to work. Hey man. I've seen you get that 10 reps . I want to kiss that little Taylor. Worked this. Worked this. Oh my God. Already read you. You know what? Y'all I apologize right now. Hey Miss Key. She said come on with the melan in. Yeah. Oh my G,She also announced,,,
sports,3__Newcastle__the_new-norm.json,37,37,Quantity,Substantive,Assert / Elaborate,. So the the Northumberland plate so in terms of weights the first 20 in the weights go into the plate the next 20 go into the fast that's right that's how it works. So it's two miles always mazes me that when you've got a two mile race and you've got mainly e,. Yeah and it's not like we have tight bends where there's lots of scrimmaging occurring and things and now when they swing into the home straight having come off the home bend rather than hugging the inside line they do spread out and they come down the middl,,,
sports,41_-_Dustin_Brady-_Football-_QB_at_Wynford_High_School__SR.json,31,31,Quantity,Substantive,Answer,"him. Sure, absolutely. I'll see you alluded a little bit to the injury, your freshman season, tearing your ACL. What did that do to you from a mental standpoint? Because that's not, you know, obviously that's not a, hey, next month I'll get back at it. What di","you mentally? That caused me to be a lot more patient with things, you know. Sometimes I usually like to rush things and, you know, and I always just want to get back at, you know, going at going 100% right away, and when the doctors and physical trainers and ",,,
business,009___Angela_Ostroff___Social_Media_Marketing.json,18,18,Quantity,Substantive,Answer,do?,Sales.,,,
sports,131_UFC_249_Recap__Preview_of_Pro_BJJ_Coming_Back.json,5,5,Quantity,Substantive,Assert / Elaborate,"I'm doing good dad Be doing a lot better if we didn't have about 35 minutes of technical snags ahead of this recording again We are still in quarantine here in Baltimore, Maryland So we are gonna do this show remotely Bring it to you in the best audio quality ",gonna be previewing stuff this episode and covering it next episode. So yeah Exc,,,
business,0012_-_Unboxing_Spiel_with_Sane_Whelan_-_Part_2.json,2,2,Quantity,Substantive,Clarification Request (Specific),"Sebastian Bliesdale, his name is Arachlas Gross. He's from a, I think it's a Turkish company called Ludicreations.com. He gave me permission to take his photo as long as it was only used in a classroom context. So I think this counts. He said to me, he's a pub",Give us a quick one liner on them,,,
business,009__Saying_HECK_YES__w__Fiona_Crystal.json,35,35,Quantity,Substantive,Assert / Elaborate,"- Nice, nice. So I asked this question to all of it, all of my guests on the show. I asked them what is their favorite book and they tell me why. Now, I'm gonna tell you, I'm a hoarder of books, okay? So if I see a book, someone posts me like, ""This book is ve","- So I wanna say, I haven't finished this book, but I'm pretty close to it, so I'll be honest here. But there's a book that I really enjoy has called The Subtle Art of Not Giving an F. And it's by pretty closely being done, but it's a really good book because ",,,
news,Episode_179_Azure_Static_Web_Apps___Azure_Static_Websites.json,40,40,Quantity,Substantive,Assert / Elaborate,"Yes . Yeah . It's got some stuff going on. If you want to see it in action and not just in pictures, there is a great video on YouTube from one of the program managers on the list team. It's about 17, 18 minutes long, but it goes through the entire flow. You g",". Yeah. And it looks like they're having a new lists home on the web. I'll have to go watch this YouTube video too because I haven't actually watched that yet and how the navigation through all of these works, especially given, like you said, the thronesites. ",,,
commentary,5_High_Off_Life_-_Future_Review.json,48,48,Quantity,Substantive,Assert / Elaborate,he used young Doug pretty well in that song Yeah,"Well, I did I did like young thug on it. I don't I don't think it I don't think this song brought anything to the album I don't think it It made anything better. It was just it was just another young thug verse. You know what I mean? Like at this at this point",,,
sports,BASKETBALL_WEEKLY_ROUNDUP_-_THE_LAST_DANCE_2.json,37,37,Manner,Substantive,Assert / Elaborate,in assists as well. Which is incredible for his age and everything,. And you just thought that as he was going to get older he was going to turn into this player that was more of a role player in the sense of and going for more of the post-hook approach and rather than driving to the basket getting those dunks you know the hi,,,
business,01___NYU_s_Global_Liberal_Studies_Program.json,25,25,Manner,Substantive,Assert / Elaborate,"now. - All the intruder stories that you hear of at Zoom. Luckily, we just shared the community. - I know. - A few minutes ago, so I have no intruders jumps in, but yeah, of course there are, there's learning for everyone. There are kids in kindergarten in Ind","I know. I never knew about Microsoft Teams and all the time until I started my job. I messes to tell me who is 16, that okay, we have all of these things. You know how to set this up and I was like, wow . She is way ahead in the game now",,,
business,006__Youtube_101__with_Grant_Long.json,93,93,Manner,Substantive,Assert / Elaborate,yeah so this is something I've always wondered because I've thought about doing that I've thought about you know getting an Xbox or getting a PlayStation and streaming how how is it set up how do you stream yourself like how was it set up to where you're at th,'s like a ton of ways you got to watch a lot of YouTube videos but basically you can do it some people they have a green screen in the background but how I got it hooked up is I got a TV I got a computer and I got what's called a capture card the TV and the co,,,
news,Follow_Up__Rahima_Moosa_Hospital_responds_to_their_mistake_relating_to_the_birth_of_Jhb_triplets.json,19,19,Manner,Substantive,Assert / Elaborate,Dr. Benson? The babies were born on Thursday. The baby passes away on Sunday. The babies were born on Thursday,. The babies that during the period from Thursday mother came to the babies and the understanding from the pediatricians was that mother would see the sex of the baby. So at that particular point in time remember baby C then became sick on the Saturday. Mother,,,
commentary,27__A_Family_Tells_Their_Covid-19_Story_2.json,7,7,Manner,Substantive,Assert / Elaborate,is after marty gro,ck isn't and that kind of part of the story to is that you know that new orleans with a huge is a hot spot now right uh... but it wasn't at the time and people really didn't know the damage that having you know the usual fat food they big party down there on v,,,
sports,Beef_Up_Front_Episode_16...NFC_East_Preview.json,44,44,Manner,Substantive,Self-Correction,was a no he was a rookie in this year this is his rookie year stats,yeah yeah was it was here rookie last season,,,
sports,26._Lakers_Losing_Avery_Bradley__Potential_Match_Ups_in_West_-_Matt_Hanniff.json,120,120,Manner,Substantive,Assert / Elaborate,". - No, no, I was just going to say like, what do you think those calls are like? Like where multiple GMs are trying to coordinate, you know, they all kind of are going back and forth with what they want. And now it's not just a trade between my team and your ",". - I think it's probably just like you described where I want this, you want this, but my owner wants this, but your owner doesn't want it. And the third team three wants this, it's pretty chaotic and I'm pretty sure as you described. I was going to say it's ",,,
commentary,50__Party_of_the_Century__Julio_Ricardo_Varela.json,45,45,Manner,Substantive,Assert / Elaborate,"do you think you're, you think that they're the good guys? That's your family. You're the good guys, obviously",". Yeah. And I think there's a part of me that's like you struggle with it, but I, but I think also there is, it's kind of gotten like it's always been there, right? And, and you know, even if you look at how the Irish, right, sort of took over New York City po",,,
sports,BlitzCast__110__Dolphins_Dominate.json,40,40,Manner,Substantive,Assert / Elaborate,"I do has to work out for the Miami Dolphins in order for them to take that next step forward. The Buffalo Bills is the last team on our list. And they have to be the favorites, heading into the NFL season because of what they did last year. They made it to the",", I actually like this pick. Well, I have to say, I like this pick a lot, you know, sort of kind of when I saw his junior tape and then kind of when I saw his senior tape, I wasn't as excited about him. And that's probably why he was a second round guy. But yo",,,
sports,Ballaholics_5_5_20__Chris_Paul_To_The_Knicks__Giannis_2021_FA_Destinations__Are_the_Buccaneers_the_favorite.json,48,48,Manner,Substantive,Assert / Elaborate,"o. - Jared, take a lot more than Wiggins together. - Exactly",". And that's, you know, I love this. I love, I love this. 'Cause it'd be Angel Wiggins, the top pick of next year's draft, a lottery pick, and maybe if you're feeling it, if the Warriors are up to it, Dreamong Green as well. I'm not saying they have to include",,,
sports,Ballaholics_5_5_20__Chris_Paul_To_The_Knicks__Giannis_2021_FA_Destinations__Are_the_Buccaneers_the_favorite.json,74,74,Manner,Substantive,Correction / Challenge,". He's always proved me wrong, but. I mean, you 're just a fan. Of course",", he's going to prove you wrong",,,
business,01___NYU_s_Global_Liberal_Studies_Program.json,32,32,Manner,Substantive,Clarification Request (Generic),a similar,"feeling about what we feel we should be doing, right",,,
news,Episode_28__Azure_IoT_and_Hardware.json,21,21,Manner,Substantive,Assert / Elaborate,"one of the other things that didn't make the show nice. So we should, I feel obligated since we're a team's organization to bring up some of the stuff that is definitely being released now. A lot of pie in the sky, it's showing up on, on your clients for teams","? - Oh, you skipped the biggest one in the world that we used all the time. You saved it for me? - Yes. It's like Christmas. Chat pop out. - Yes. - Which is a huge game changer in workflow. So I've been able to pop a chat out group or individual chat and talk ",,,
news,Episode_28__Azure_IoT_and_Hardware.json,43,43,Manner,Substantive,Assert / Elaborate,that. - It was nine years,". - It's a lot of years that we actually sent people to space from the US, which is super awesome. You know, also being a private company that did that is also super awesome. And the fact that they landed the booster and can reuse it is mind blowing to me. I h",,,
commentary,310_-_Mic_placement_and_home_recording.json,8,8,Manner,Substantive,Assert / Elaborate,"ards. >> I got that. I'm starting to get nose hairs. I'm like, what's going on here? I mean, I've always had nose hairs, but- >> Pretty soon you'll","start whistling every time you say S's. >> I was, you just really can't stop there. >> Oh boy",,,
news,226__MLS_Tournament__Orlando_Or_Bust.json,24,24,Manner,Substantive,Assert / Elaborate,". Nonetheless, whatever the case is with that, I think MLS had to get creative. They had to do something to get this season or fulfill TV obligations, get some football under their belts, and hedge against the potential second way, and I think the concern was ",". Yeah, and those clubs all have an identity, and it's not just the fan base, but it's also just a playing style, kind of a style of play that you can say, okay, that is a quintessential ,",,,
commentary,06_24_2020_Its_The_Juice_2.json,16,16,Manner,Substantive,Assert / Elaborate,. He 's slightly,"close to 40. He's closer to 40. Then he is the 30. He goes to the 40. He is 37. Okay? You do it. Because we go up. We don't go down there. He- he's on the side, baby. Whoo-chow. And his wife, you know, she's still developing. Now the one is still technically. ",,,
religion,05-26-2020__Wondering_About_Feathered_Wonders__All_Things_Birds_with_Erik_Bruhnke.json,33,33,Manner,Substantive,Assert / Elaborate,again the name of the organization that Tim is associated with.,"Yeah, there's two of them. The very localized one, which I highly recommend getting into, it's Ben Ghost Bird Club and it's B-E-N-G-O-S-S. Two words, Ben Ghost Bird Club. Okay",,,
sports,Blind_adrenaline_junkie_doesnt_let_his_disability_stop_him_from_pushing_the_limits_2.json,14,14,Manner,Substantive,Assert / Elaborate,sports? It was purely,"down to the skydive. If I hadn't done the tandem skydive, I've always been into sport at the mathematics, politics, and football and swimming. In fact, I was supposed to represent Great Britain and the Sydney Paralympics, but I ran into a park car at high spee",,,
news,Episode_11__Murray_Bookchin_s__The_Ecology_of_Freedom.json,108,108,Manner,Substantive,Self-Correction,"Yeah. Anyway, that's that's all that's all I have. What about you",? That's that's I'm trying out a new ending line. That's all the theory I have for today.,,,
commentary,47-_We_ll_Be_Back_on_August_11th.json,181,181,Manner,Substantive,Clarification Request (Specific),"'s, it's a fine line",". It's fine. Yeah. Mm-hmm. Like, is it, is it for yourself or is it for the movement? I",,,
religion,0141_Pinkie_The_Pig_Podcast__Lead___Other_Metals.json,89,89,Manner,Substantive,Clarification Request (Specific),"Yeah, that was a fun podcast. But you can drink out of lead crystal glasses because...","why? Well, it doesn't hurt you because the liquid's only in there for a short period of time. You wouldn't want to store a liquid in a lead crystal decanter. Decanter? Well, that's like a fancy jar. You wouldn't want to store the liquid in there a long time an",,,
commentary,54__Fanita_Banana__Stephanie_Manriquez.json,27,27,Manner,Substantive,Stonewalling / Non-Response,"We were talking about that another the past episode where I don't know if you know Solanera Rivera out in New York, but we're talking about if you just work really hard doors open that you don't even know are there, but right when you need them to be there, th","everything. Yes. And again, you know, you're just moving around and, you know, because you 're not a bad lady with",,,
sports,2.10__Orioles_Director_of_Pitching_Chris_Holt.json,21,21,Manner,Substantive,Assert / Elaborate,">> Yeah, just to stay on the academic theme it seems like the approach has been more at liberal arts college individual tutoring over mass produced large lecture hall teaching.",">> Yeah, it could be I think again it's, I think that it's a level of engagement to will I think that's the biggest thing is that when guys feel engaged in their own development they know what they're working on and why it just it just breeds a whole different",,,
commentary,49._Their_Satanic_Majesties_Request_-_The_Rolling_Stones.json,10,10,Manner,Substantive,Answer,"that? - Well, this is not an album that I've really ever wanted to listen to. It's the Rolling Stones album that really gets dunked on. I mean, it's like-- - That's an",emotional rescue,,,
